feature,coefficient
COGT,0.3525613182853313
PT08.S1CO,0.007455987502263542
NOxGT,0.001922673404562122
PT08.S3NOx,0.00434898976230043
NO2GT,-0.010178376023825646
PT08.S4NO2,0.020980657841231036
PT08.S5O3,0.0021757718936321435
T,-0.12405484413249743
RH,-0.03893386515014481
AH,-8.229718209632926
rolling_COGT_mean_3,-0.04156852453519068
rolling_COGT_std_3,0.11105239483791612
rolling_COGT_max_3,-0.2668672112037002
rolling_COGT_min_3,0.050040466237366826
rolling_COGT_mean_6,0.1506085046746695
rolling_COGT_std_6,-0.26084045878962
rolling_COGT_max_6,0.21882045593983965
rolling_COGT_min_6,-0.3081989862626593
rolling_COGT_mean_12,-0.014495143782643171
rolling_COGT_std_12,-0.4050929216630847
rolling_COGT_max_12,-0.07016439689398625
rolling_COGT_min_12,0.06827094237903229
rolling_COGT_mean_24,0.1420827492760984
rolling_COGT_std_24,0.17186962479460519
rolling_COGT_max_24,0.04317893142647359
rolling_COGT_min_24,0.01275643553337523
rolling_PT08.S1CO_mean_3,-0.004093915868640032
rolling_PT08.S1CO_std_3,-0.001202224247725747
rolling_PT08.S1CO_max_3,0.0009668196278254039
rolling_PT08.S1CO_min_3,-0.0018320604226114332
rolling_PT08.S1CO_mean_6,0.005879092202740663
rolling_PT08.S1CO_std_6,0.0056180298678192315
rolling_PT08.S1CO_max_6,-0.0028333127875967926
rolling_PT08.S1CO_min_6,-0.0012858292010117685
rolling_PT08.S1CO_mean_12,-0.0019005942222923434
rolling_PT08.S1CO_std_12,-0.0020261830967136262
rolling_PT08.S1CO_max_12,0.0016381713677579826
rolling_PT08.S1CO_min_12,-0.00029566535860038335
rolling_PT08.S1CO_mean_24,-0.002638129941153464
rolling_PT08.S1CO_std_24,-0.0018296275127959911
rolling_PT08.S1CO_max_24,-0.0003034270296398859
rolling_PT08.S1CO_min_24,-0.0024717210273227388
rolling_C6H6GT_mean_3,0.22630991537927933
rolling_C6H6GT_std_3,0.37526579075123195
rolling_C6H6GT_max_3,-0.16982352058781652
rolling_C6H6GT_min_3,0.1877402400292528
rolling_C6H6GT_mean_6,-0.0825126669664982
rolling_C6H6GT_std_6,0.2536271071337253
rolling_C6H6GT_max_6,-0.09137563673453485
rolling_C6H6GT_min_6,0.147344287095117
rolling_C6H6GT_mean_12,-0.23255489699150295
rolling_C6H6GT_std_12,0.15571658682604939
rolling_C6H6GT_max_12,-0.002772013933593689
rolling_C6H6GT_min_12,0.0789071220248918
rolling_C6H6GT_mean_24,0.21081903727242277
rolling_C6H6GT_std_24,-0.0635000227554724
rolling_C6H6GT_max_24,0.008267310275621408
rolling_C6H6GT_min_24,0.16043956508446883
rolling_NOxGT_mean_3,-0.0011930235582354968
rolling_NOxGT_std_3,-0.005196098439079402
rolling_NOxGT_max_3,0.005273877777365508
rolling_NOxGT_min_3,-0.0016862383551235604
rolling_NOxGT_mean_6,-0.004117454775417064
rolling_NOxGT_std_6,0.004067760123617477
rolling_NOxGT_max_6,-0.0022919484982327396
rolling_NOxGT_min_6,0.004354616837209196
rolling_NOxGT_mean_12,0.0031736192104584093
rolling_NOxGT_std_12,-0.0013086929147678441
rolling_NOxGT_max_12,0.0011781658239900783
rolling_NOxGT_min_12,-0.003797607590432437
rolling_NOxGT_mean_24,-0.0019123088049025367
rolling_NOxGT_std_24,-0.0009917289060350576
rolling_NOxGT_max_24,0.00018627180310594316
rolling_NOxGT_min_24,0.001112849616712357
rolling_PT08.S3NOx_mean_3,-0.004284911211825782
rolling_PT08.S3NOx_std_3,-0.004875873224609312
rolling_PT08.S3NOx_max_3,0.0023939211652502243
rolling_PT08.S3NOx_min_3,-0.002109337556378731
rolling_PT08.S3NOx_mean_6,0.002438617078743548
rolling_PT08.S3NOx_std_6,-0.0013666882977612124
rolling_PT08.S3NOx_max_6,-3.3884602466733887e-05
rolling_PT08.S3NOx_min_6,-0.0018968411817637829
rolling_PT08.S3NOx_mean_12,-0.002460812751473728
rolling_PT08.S3NOx_std_12,0.0018476580362127733
rolling_PT08.S3NOx_max_12,0.00013767921583939606
rolling_PT08.S3NOx_min_12,0.001867625921912012
rolling_PT08.S3NOx_mean_24,-0.0017967154384009166
