feature,coefficient
PT08.S1CO,0.0013584036740683899
C6H6GT,0.03665778629374909
NOxGT,0.005466365842774771
PT08.S3NOx,0.00037638816748163047
NO2GT,0.004769946184180407
PT08.S4NO2,0.0006280786366069876
PT08.S5O3,-0.0004104105720171223
T,-0.020159376559965365
RH,-0.008993964257904247
AH,0.006702883064293761
rolling_COGT_mean_3,0.14479157111887647
rolling_COGT_std_3,0.7589399036790687
rolling_COGT_max_3,-0.25137639778102117
rolling_COGT_min_3,0.4166104704554239
rolling_COGT_mean_6,-0.06104555581027386
rolling_COGT_std_6,-0.2740969767859936
rolling_COGT_max_6,0.050233952439748354
rolling_COGT_min_6,0.05246186892134975
rolling_COGT_mean_12,0.16630112189749624
rolling_COGT_std_12,0.19107560411507116
rolling_COGT_max_12,-0.07719843460613544
rolling_COGT_min_12,-0.05956580726164612
rolling_COGT_mean_24,0.06521901821305777
rolling_COGT_std_24,-0.0632395775167193
rolling_COGT_max_24,-0.0019623860837160523
rolling_COGT_min_24,-0.028300438006322197
rolling_PT08.S1CO_mean_3,-0.0003029981593827601
rolling_PT08.S1CO_std_3,0.0011158227242158872
rolling_PT08.S1CO_max_3,-0.0010692873979328485
rolling_PT08.S1CO_min_3,-0.00010622378505604699
rolling_PT08.S1CO_mean_6,-0.00017000364862207262
rolling_PT08.S1CO_std_6,0.0013862466223352485
rolling_PT08.S1CO_max_6,-0.0002680712650068421
rolling_PT08.S1CO_min_6,0.00040515760035290493
rolling_PT08.S1CO_mean_12,-0.00040543935954388165
rolling_PT08.S1CO_std_12,-0.0004183255244177808
rolling_PT08.S1CO_max_12,0.0002594435865471051
rolling_PT08.S1CO_min_12,0.0003809914499204479
rolling_PT08.S1CO_mean_24,-0.0003283654909722362
rolling_PT08.S1CO_std_24,0.0005198512276433772
rolling_PT08.S1CO_max_24,7.0311381694058e-05
rolling_PT08.S1CO_min_24,0.0002865177780539998
rolling_C6H6GT_mean_3,0.005008574599075411
rolling_C6H6GT_std_3,-0.07725786510938153
rolling_C6H6GT_max_3,0.007422267046420833
rolling_C6H6GT_min_3,-0.04280629216736194
rolling_C6H6GT_mean_6,-0.026574136996533767
rolling_C6H6GT_std_6,0.008001760806067112
rolling_C6H6GT_max_6,0.013238588251848368
rolling_C6H6GT_min_6,-1.3338561726355351e-05
rolling_C6H6GT_mean_12,0.038595122491425445
rolling_C6H6GT_std_12,-0.028092996160964594
rolling_C6H6GT_max_12,0.0017348279505405026
rolling_C6H6GT_min_12,-0.00991569434854612
rolling_C6H6GT_mean_24,-0.017700569235287938
rolling_C6H6GT_std_24,-0.004768498922751281
rolling_C6H6GT_max_24,-0.0022239611679585086
rolling_C6H6GT_min_24,0.007327552727122393
rolling_NOxGT_mean_3,-0.001164840917835416
rolling_NOxGT_std_3,-0.0027417095888275706
rolling_NOxGT_max_3,0.0014738993257448452
rolling_NOxGT_min_3,-0.0010095544204771492
rolling_NOxGT_mean_6,0.0008676485223860013
rolling_NOxGT_std_6,-0.0002965313859255248
rolling_NOxGT_max_6,0.0003968679602366577
rolling_NOxGT_min_6,-0.0010279354332452617
rolling_NOxGT_mean_12,-0.0005854105994289832
rolling_NOxGT_std_12,0.0005030577908287799
rolling_NOxGT_max_12,-0.0006992738417261437
rolling_NOxGT_min_12,0.0010052672796192201
rolling_NOxGT_mean_24,-0.0004757418875896281
rolling_NOxGT_std_24,0.0003866400152079688
rolling_NOxGT_max_24,0.00030651512881424095
rolling_NOxGT_min_24,-0.0005577677643506328
rolling_PT08.S3NOx_mean_3,2.7690991822673403e-05
rolling_PT08.S3NOx_std_3,-0.0007261257534586476
rolling_PT08.S3NOx_max_3,0.0003607581577254789
rolling_PT08.S3NOx_min_3,-0.0006752608409452106
rolling_PT08.S3NOx_mean_6,0.00015444618031485395
rolling_PT08.S3NOx_std_6,-0.00021539132514673698
rolling_PT08.S3NOx_max_6,-8.164265071887713e-05
