feature,coefficient
COGT,4.335669295233384
PT08.S1CO,-0.021191065660722753
C6H6GT,-0.9619505214249303
NOxGT,0.16466064564265656
PT08.S3NOx,-0.02712326456983446
PT08.S4NO2,0.007128296037631157
PT08.S5O3,0.025541325777184622
T,0.09533054761742833
RH,-0.12784654775334678
AH,-5.3211137978486525
rolling_COGT_mean_3,0.2299764734300395
rolling_COGT_std_3,2.605215958012392
rolling_COGT_max_3,-2.899644841290344
rolling_COGT_min_3,0.7618792053287088
rolling_COGT_mean_6,-4.612439779283819
rolling_COGT_std_6,-3.409035107258828
rolling_COGT_max_6,2.5202565198830404
rolling_COGT_min_6,2.880509779113398
rolling_COGT_mean_12,-0.49235802232146625
rolling_COGT_std_12,-0.9888797733611212
rolling_COGT_max_12,-0.17304067350691935
rolling_COGT_min_12,-0.4005763152718692
rolling_COGT_mean_24,0.551924278933743
rolling_COGT_std_24,3.0421120420815124
rolling_COGT_max_24,-0.09401551550986044
rolling_COGT_min_24,0.28756006114874105
rolling_PT08.S1CO_mean_3,0.027226777643894032
rolling_PT08.S1CO_std_3,0.026416823007746292
rolling_PT08.S1CO_max_3,-0.025654299655246633
rolling_PT08.S1CO_min_3,0.01847643563010824
rolling_PT08.S1CO_mean_6,0.015728595194059978
rolling_PT08.S1CO_std_6,-0.04029101205834347
rolling_PT08.S1CO_max_6,0.01596742304455995
rolling_PT08.S1CO_min_6,-0.02943117584657662
rolling_PT08.S1CO_mean_12,0.003532525314351738
rolling_PT08.S1CO_std_12,0.01440631519135147
rolling_PT08.S1CO_max_12,-0.011987319440006463
rolling_PT08.S1CO_min_12,0.008220782375179737
rolling_PT08.S1CO_mean_24,0.0038557883996736563
rolling_PT08.S1CO_std_24,-0.009365239368060017
rolling_PT08.S1CO_max_24,-0.0018359042677042552
rolling_PT08.S1CO_min_24,0.0024421242430104624
rolling_C6H6GT_mean_3,-0.021895167156363873
rolling_C6H6GT_std_3,-1.5854612834988078
rolling_C6H6GT_max_3,0.9701377120814998
rolling_C6H6GT_min_3,-0.7468886294060699
rolling_C6H6GT_mean_6,-0.06378745626659676
rolling_C6H6GT_std_6,0.5835659536704993
rolling_C6H6GT_max_6,0.15454237533700269
rolling_C6H6GT_min_6,0.7085780948924026
rolling_C6H6GT_mean_12,0.2110797997651315
rolling_C6H6GT_std_12,0.7111855253698556
rolling_C6H6GT_max_12,-0.4471398967827265
rolling_C6H6GT_min_12,-0.20981437151447843
rolling_C6H6GT_mean_24,0.6602323153595823
rolling_C6H6GT_std_24,-0.8104012844783882
rolling_C6H6GT_max_24,0.0531019928671995
rolling_C6H6GT_min_24,-0.3069014504504996
rolling_NOxGT_mean_3,-0.047596328742501345
rolling_NOxGT_std_3,-0.04176426235462425
rolling_NOxGT_max_3,0.024282473631210392
rolling_NOxGT_min_3,0.02425144256573406
rolling_NOxGT_mean_6,0.07115056351540672
rolling_NOxGT_std_6,-0.0050710776278559255
rolling_NOxGT_max_6,-0.0037121185034609014
rolling_NOxGT_min_6,-0.07259294475313414
rolling_NOxGT_mean_12,-0.02056948753533691
rolling_NOxGT_std_12,0.01879788438570425
rolling_NOxGT_max_12,0.009189044323992285
rolling_NOxGT_min_12,0.04120249169216061
rolling_NOxGT_mean_24,-0.03506679953434591
rolling_NOxGT_std_24,-0.05042084043019175
rolling_NOxGT_max_24,0.009517506801052797
rolling_NOxGT_min_24,-0.01994693655172253
rolling_PT08.S3NOx_mean_3,0.052607992446913276
rolling_PT08.S3NOx_std_3,-0.004236971194352017
rolling_PT08.S3NOx_max_3,-0.011578551493128043
rolling_PT08.S3NOx_min_3,-0.003724031591124542
rolling_PT08.S3NOx_mean_6,-0.04601749967598268
rolling_PT08.S3NOx_std_6,0.02567654582289589
rolling_PT08.S3NOx_max_6,0.007379412726334795
rolling_PT08.S3NOx_min_6,0.022030996239491212
rolling_PT08.S3NOx_mean_12,-0.00830580344088051
rolling_PT08.S3NOx_std_12,0.010145565376194265
rolling_PT08.S3NOx_max_12,-0.003407706012587858
rolling_PT08.S3NOx_min_12,0.0010182742903067246
rolling_PT08.S3NOx_mean_24,0.034101728261688585
rolling_PT08.S3NOx_std_24,-0.021174637257315908
rolling_PT08.S3NOx_max_24,0.001069544233586545
rolling_PT08.S3NOx_min_24,-0.013702801296627869
rolling_NO2GT_mean_3,0.2640976423509584
rolling_NO2GT_std_3,0.27451378333123927
rolling_NO2GT_max_3,-0.1379842597901167
rolling_NO2GT_min_3,0.0202796693081004
rolling_NO2GT_mean_6,-0.2916466574484998
rolling_NO2GT_std_6,-0.013393735146790164
rolling_NO2GT_max_6,0.04128081017454699
rolling_NO2GT_min_6,0.09018303896647058
rolling_NO2GT_mean_12,0.12621552128548194
rolling_NO2GT_std_12,-0.02282698383834386
rolling_NO2GT_max_12,-0.04660830610104839
rolling_NO2GT_min_12,-0.09897420563391927
rolling_NO2GT_mean_24,0.14605087008891512
rolling_NO2GT_std_24,0.05330535054713292
rolling_NO2GT_max_24,-0.044523613389465956
rolling_NO2GT_min_24,0.026444090840894007
rolling_PT08.S4NO2_mean_3,0.0016069041991068592
rolling_PT08.S4NO2_std_3,0.016108991791894577
rolling_PT08.S4NO2_max_3,0.0026438372854301687
rolling_PT08.S4NO2_min_3,-0.007569589306776737
rolling_PT08.S4NO2_mean_6,-0.015330287213159302
rolling_PT08.S4NO2_std_6,0.01798765859517942
rolling_PT08.S4NO2_max_6,-0.0148306665019817
rolling_PT08.S4NO2_min_6,0.015538448306233875
rolling_PT08.S4NO2_mean_12,-0.0037597983527840003
rolling_PT08.S4NO2_std_12,0.0038491042437506905
rolling_PT08.S4NO2_max_12,0.011005781423607051
rolling_PT08.S4NO2_min_12,-0.003260739961274416
rolling_PT08.S4NO2_mean_24,0.0028566112697460894
rolling_PT08.S4NO2_std_24,-0.0019922795284248677
rolling_PT08.S4NO2_max_24,-0.0018659539944608468
rolling_PT08.S4NO2_min_24,0.0033694355455096917
rolling_PT08.S5O3_mean_3,0.0002509355156461942
rolling_PT08.S5O3_std_3,0.019792233494676733
rolling_PT08.S5O3_max_3,-0.021724853406770654
rolling_PT08.S5O3_min_3,-0.0021882494130351635
rolling_PT08.S5O3_mean_6,0.0053233955138393884
rolling_PT08.S5O3_std_6,-0.009892860948337107
rolling_PT08.S5O3_max_6,0.0039006670399080443
rolling_PT08.S5O3_min_6,-0.004743117711818552
rolling_PT08.S5O3_mean_12,-0.010385756628683473
rolling_PT08.S5O3_std_12,-0.008391626823978
rolling_PT08.S5O3_max_12,0.004039506622498187
rolling_PT08.S5O3_min_12,0.004452747324568669
rolling_PT08.S5O3_mean_24,0.0019528072650172072
rolling_PT08.S5O3_std_24,0.01902642875927246
rolling_PT08.S5O3_max_24,-0.0010660318288301922
rolling_PT08.S5O3_min_24,-0.0038297102849475023
rolling_T_mean_3,-2.0863173121565204
rolling_T_std_3,0.25671703002212104
rolling_T_max_3,0.8291097352260467
rolling_T_min_3,1.0613888891048386
rolling_T_mean_6,0.7501655576261439
rolling_T_std_6,0.4344892100978956
rolling_T_max_6,-0.11491263860871294
rolling_T_min_6,0.6147177125897482
rolling_T_mean_12,-1.908329962543288
rolling_T_std_12,0.484482674053428
rolling_T_max_12,-0.43198252075496946
rolling_T_min_12,0.3856325401167105
rolling_T_mean_24,1.0748736023452792
rolling_T_std_24,0.38507045361253184
rolling_T_max_24,-0.024891926475214186
rolling_T_min_24,0.06712558406136584
rolling_RH_mean_3,-0.10724646329341582
rolling_RH_std_3,0.1835878545660848
rolling_RH_max_3,-0.01660760921078124
rolling_RH_min_3,0.19294811770440398
rolling_RH_mean_6,0.23742196873874163
rolling_RH_std_6,-0.07764020169209677
rolling_RH_max_6,0.12263998051219671
rolling_RH_min_6,-0.08374678501302649
rolling_RH_mean_12,-0.48037640759806793
rolling_RH_std_12,-0.0006169974910917414
rolling_RH_max_12,0.013021468619548913
rolling_RH_min_12,-0.06592225341385799
rolling_RH_mean_24,0.2836372201079202
rolling_RH_std_24,0.00013996318467331194
rolling_RH_max_24,-0.003724341417834228
rolling_RH_min_24,0.034558370260737964
rolling_AH_mean_3,25.599750054082453
rolling_AH_std_3,13.956708996674326
rolling_AH_max_3,-12.979091330118411
rolling_AH_min_3,-1.4415286822163924
rolling_AH_mean_6,-16.913628608115907
rolling_AH_std_6,-26.930613563814514
rolling_AH_max_6,6.151879277348278
rolling_AH_min_6,-6.249685540613949
rolling_AH_mean_12,17.32052547400139
rolling_AH_std_12,-10.851349506875778
rolling_AH_max_12,3.0184828708456095
rolling_AH_min_12,-5.42845947853626
