feature,coefficient
COGT,30.56959585416635
PT08.S1CO,0.02754035171762774
C6H6GT,1.4237634648213364
PT08.S3NOx,0.01994856966187182
NO2GT,0.964186143049652
PT08.S4NO2,0.005196795093777473
PT08.S5O3,0.009158721766501782
T,-0.44758953823597525
RH,0.24165785878248514
AH,-5.594613429211423
rolling_COGT_mean_3,-1.9238604712627712
rolling_COGT_std_3,-0.7372565256879018
rolling_COGT_max_3,-1.4659146772611291
rolling_COGT_min_3,-2.0000208344393964
rolling_COGT_mean_6,-3.3789339055111225
rolling_COGT_std_6,-2.5580229485670185
rolling_COGT_max_6,-2.2856010229256993
rolling_COGT_min_6,-2.461663469769618
rolling_COGT_mean_12,-2.640415836728915
rolling_COGT_std_12,-0.0
rolling_COGT_max_12,0.9741483518372366
rolling_COGT_min_12,-1.7565422521688074
rolling_COGT_mean_24,0.14293636417982628
rolling_COGT_std_24,2.61955495072672
rolling_COGT_max_24,0.2806608759661123
rolling_COGT_min_24,-0.9193087652479273
rolling_PT08.S1CO_mean_3,-0.005752636790375724
rolling_PT08.S1CO_std_3,-0.03152104664149853
rolling_PT08.S1CO_max_3,-0.0072978652556894685
rolling_PT08.S1CO_min_3,-0.0022526147280910076
rolling_PT08.S1CO_mean_6,0.0
rolling_PT08.S1CO_std_6,-0.0021716892153029565
rolling_PT08.S1CO_max_6,-0.0031997578731599976
rolling_PT08.S1CO_min_6,0.0
rolling_PT08.S1CO_mean_12,-0.0017098794251422982
rolling_PT08.S1CO_std_12,-0.0075512010271204105
rolling_PT08.S1CO_max_12,0.0018698460719982534
rolling_PT08.S1CO_min_12,-0.009459260715312508
rolling_PT08.S1CO_mean_24,0.00019501009387284333
rolling_PT08.S1CO_std_24,0.0
rolling_PT08.S1CO_max_24,0.0
rolling_PT08.S1CO_min_24,-0.014870702958471978
rolling_C6H6GT_mean_3,0.0
rolling_C6H6GT_std_3,0.18518036352442113
rolling_C6H6GT_max_3,0.0
rolling_C6H6GT_min_3,0.0
rolling_C6H6GT_mean_6,-0.14772276270359389
rolling_C6H6GT_std_6,0.20527647225594794
rolling_C6H6GT_max_6,-0.004341659290006291
rolling_C6H6GT_min_6,-0.24421476447907026
rolling_C6H6GT_mean_12,-0.3286180417874804
rolling_C6H6GT_std_12,-0.074753324513163
rolling_C6H6GT_max_12,0.13082227294748605
rolling_C6H6GT_min_12,-0.4011102276726947
rolling_C6H6GT_mean_24,0.5117537591920167
rolling_C6H6GT_std_24,0.5332873565391736
rolling_C6H6GT_max_24,0.07171711919638407
rolling_C6H6GT_min_24,-0.0
rolling_NOxGT_mean_3,0.10527216059328809
rolling_NOxGT_std_3,0.1593867144052203
rolling_NOxGT_max_3,0.09092094681403505
rolling_NOxGT_min_3,0.10347065904240446
rolling_NOxGT_mean_6,0.011218045906076045
rolling_NOxGT_std_6,-0.0
rolling_NOxGT_max_6,0.023199293184971295
rolling_NOxGT_min_6,0.08804195568065884
rolling_NOxGT_mean_12,0.009647270875943371
rolling_NOxGT_std_12,-0.032191618006913954
rolling_NOxGT_max_12,0.016744028062363598
rolling_NOxGT_min_12,0.03698433872511632
rolling_NOxGT_mean_24,0.06246162779262081
rolling_NOxGT_std_24,0.0
rolling_NOxGT_max_24,-0.0019427889946092426
rolling_NOxGT_min_24,0.05728426321011875
rolling_PT08.S3NOx_mean_3,-0.0014077384366423216
rolling_PT08.S3NOx_std_3,-0.004267571990728955
rolling_PT08.S3NOx_max_3,-0.003602816082614227
rolling_PT08.S3NOx_min_3,-0.00047629033959605856
rolling_PT08.S3NOx_mean_6,-0.014045304565161251
rolling_PT08.S3NOx_std_6,0.013378191292521744
rolling_PT08.S3NOx_max_6,-0.0
rolling_PT08.S3NOx_min_6,-0.0007058278780070196
rolling_PT08.S3NOx_mean_12,-0.004018972322663244
rolling_PT08.S3NOx_std_12,-0.007315384762722338
rolling_PT08.S3NOx_max_12,-0.0024937865767624967
rolling_PT08.S3NOx_min_12,-0.007932995357041247
rolling_PT08.S3NOx_mean_24,-0.0
rolling_PT08.S3NOx_std_24,-0.0
rolling_PT08.S3NOx_max_24,0.00010052459279742965
rolling_PT08.S3NOx_min_24,0.0
rolling_NO2GT_mean_3,-0.09423165001175146
rolling_NO2GT_std_3,-0.09486338070509254
rolling_NO2GT_max_3,-0.09896156413683184
rolling_NO2GT_min_3,-0.09909813322356636
rolling_NO2GT_mean_6,-0.005068084451435234
rolling_NO2GT_std_6,-0.07598613787351499
rolling_NO2GT_max_6,-0.053299822940834844
rolling_NO2GT_min_6,-0.03963605597556621
rolling_NO2GT_mean_12,-0.01091324647232781
rolling_NO2GT_std_12,-0.016682804604387008
rolling_NO2GT_max_12,-0.008850225037449614
rolling_NO2GT_min_12,-0.061226034820302554
rolling_NO2GT_mean_24,-0.0
rolling_NO2GT_std_24,-0.0
rolling_NO2GT_max_24,0.0433441812097485
rolling_NO2GT_min_24,-0.03280025137682959
rolling_PT08.S4NO2_mean_3,-0.00016797775879669153
rolling_PT08.S4NO2_std_3,0.0
rolling_PT08.S4NO2_max_3,-0.00023806808376392058
rolling_PT08.S4NO2_min_3,-0.0012661889076341119
rolling_PT08.S4NO2_mean_6,-0.002463510783295245
rolling_PT08.S4NO2_std_6,0.006181738332668048
rolling_PT08.S4NO2_max_6,-0.001627725985687037
rolling_PT08.S4NO2_min_6,-0.00905251670744371
rolling_PT08.S4NO2_mean_12,-0.00979718739549676
rolling_PT08.S4NO2_std_12,-0.02759411920305545
rolling_PT08.S4NO2_max_12,-0.0007590073427520235
rolling_PT08.S4NO2_min_12,-0.007284868271726341
rolling_PT08.S4NO2_mean_24,-0.000620737388556863
rolling_PT08.S4NO2_std_24,-0.016375726408759565
rolling_PT08.S4NO2_max_24,-0.0031004343548967296
rolling_PT08.S4NO2_min_24,-0.0063401215593843095
rolling_PT08.S5O3_mean_3,-0.0012332785237305403
rolling_PT08.S5O3_std_3,-0.0014190658583407682
rolling_PT08.S5O3_max_3,-0.0020178345471248164
rolling_PT08.S5O3_min_3,-0.0015419832885253987
rolling_PT08.S5O3_mean_6,0.0017322132302440324
rolling_PT08.S5O3_std_6,-0.0007221478882554301
rolling_PT08.S5O3_max_6,-0.0006641309291702924
rolling_PT08.S5O3_min_6,0.0027929248346913182
rolling_PT08.S5O3_mean_12,-0.000611643509437851
rolling_PT08.S5O3_std_12,-0.0033663685729303492
rolling_PT08.S5O3_max_12,0.0
rolling_PT08.S5O3_min_12,-0.0
rolling_PT08.S5O3_mean_24,0.00019264404984732221
rolling_PT08.S5O3_std_24,-0.002916677556306111
rolling_PT08.S5O3_max_24,0.002136891284415122
rolling_PT08.S5O3_min_24,0.009069833612326234
rolling_T_mean_3,-0.0
rolling_T_std_3,-0.0
rolling_T_max_3,-0.012290358503794617
rolling_T_min_3,-0.00098526866961429
rolling_T_mean_6,-0.0
rolling_T_std_6,-0.19648932140014538
rolling_T_max_6,-0.07322202126556517
rolling_T_min_6,-0.08377496753625308
rolling_T_mean_12,0.1829187146514285
rolling_T_std_12,1.217702055839253
rolling_T_max_12,0.19294042790885638
rolling_T_min_12,0.2671179793777952
rolling_T_mean_24,0.07590214851999867
rolling_T_std_24,-0.6599519346029349
rolling_T_max_24,0.0911413933554082
rolling_T_min_24,0.0
rolling_RH_mean_3,0.0
rolling_RH_std_3,-0.3124015244070494
rolling_RH_max_3,-0.0
rolling_RH_min_3,0.0
rolling_RH_mean_6,-0.0
rolling_RH_std_6,-0.0
rolling_RH_max_6,0.0
rolling_RH_min_6,0.0
rolling_RH_mean_12,-0.03901338733111728
rolling_RH_std_12,0.0
rolling_RH_max_12,-0.002896999049366348
rolling_RH_min_12,-0.0
rolling_RH_mean_24,0.02194461719149816
rolling_RH_std_24,-0.4506287076296271
rolling_RH_max_24,0.13881109216338572
rolling_RH_min_24,0.001315666550702122
rolling_AH_mean_3,0.0
rolling_AH_std_3,19.786226625810386
rolling_AH_max_3,0.0
rolling_AH_min_3,0.0
rolling_AH_mean_6,0.0
rolling_AH_std_6,-0.0
rolling_AH_max_6,0.0
rolling_AH_min_6,0.0
rolling_AH_mean_12,-0.0
rolling_AH_std_12,-1.807173633135099
rolling_AH_max_12,-0.5868020065970027
rolling_AH_min_12,-1.067140603095526
rolling_AH_mean_24,4.241341605650747
rolling_AH_std_24,2.520615190255475
rolling_AH_max_24,4.021443832947484
rolling_AH_min_24,3.1135905919503735
COGT_lag_1,-2.6953400045540477
COGT_lag_2,-2.072824654295606
COGT_lag_3,-1.773307255888898
COGT_lag_6,-0.40458716934713823
COGT_lag_9,-2.1775832417889496
COGT_lag_12,1.2819293326633758
COGT_lag_24,-3.5842314891414033
C6H6GT_lag_1,-0.6460087941600147
C6H6GT_lag_2,0.0
C6H6GT_lag_3,0.14413598991789642
C6H6GT_lag_6,0.1311143665641183
C6H6GT_lag_9,-0.11456563353796166
C6H6GT_lag_12,0.03186946737686837
C6H6GT_lag_24,-0.18315668575017383
NOxGT_lag_1,0.2969106141815677
NOxGT_lag_2,0.029966187526160558
NOxGT_lag_3,-0.05792284470765883
NOxGT_lag_6,-0.01054179554147764
NOxGT_lag_9,0.0029945941358312093
NOxGT_lag_12,-0.001484861613927477
NOxGT_lag_24,0.07476511377273663
NO2GT_lag_1,-0.250599430441777
NO2GT_lag_2,-0.1268536132896502
NO2GT_lag_3,0.009552716892050405
NO2GT_lag_6,0.04936641457629964
NO2GT_lag_9,-0.015927147184530224
NO2GT_lag_12,0.0009391943897489917
NO2GT_lag_24,-0.1330163186623657
hour_1,-1.1538456791110467
hour_2,0.0
hour_3,0.5847239403801557
hour_4,-1.1144133559434377
hour_5,0.5812881877687286
hour_6,0.0
hour_7,5.857749226888041
hour_8,-3.218660984427216
hour_9,-0.0
hour_10,1.325176508472254
hour_11,-0.0
hour_12,-1.7436917516108088
hour_13,-0.5635147213782655
hour_14,0.3503669425315899
hour_15,0.9778819464423315
hour_16,0.1418608145702329
hour_17,-0.0
hour_18,-0.3274742549866494
hour_19,-1.7382162653386541
hour_20,0.326223929270545
hour_21,-0.0
hour_22,0.0
hour_23,-0.0
day_of_week_Monday,2.211374248665249
day_of_week_Tuesday,-0.0
day_of_week_Wednesday,-0.5974790782024547
day_of_week_Thursday,-0.3053541363501826
day_of_week_Friday,0.0
day_of_week_Saturday,-0.36159680914769876
INTERCEPT,44.055054663411696
