feature,coefficient
COGT,37.96454460195046
PT08.S1CO,0.04138244855481708
C6H6GT,1.6483009202064265
PT08.S3NOx,0.03844719390382052
NO2GT,1.2380418674109293
PT08.S4NO2,-0.022157136868331522
PT08.S5O3,-0.0008478816689174103
T,-0.4346867086421687
RH,0.4740838016464969
AH,-12.71536147160595
rolling_COGT_mean_3,-6.97757218482137
rolling_COGT_std_3,-5.29724995311479
rolling_COGT_max_3,-4.713305646919061
rolling_COGT_min_3,-7.6229072480006455
rolling_COGT_mean_6,-3.13520771439459
rolling_COGT_std_6,-0.5819458011702235
rolling_COGT_max_6,-3.078320903042498
rolling_COGT_min_6,-7.008018095704673
rolling_COGT_mean_12,-5.480913920486458
rolling_COGT_std_12,-4.246342373801502
rolling_COGT_max_12,3.7131413171177647
rolling_COGT_min_12,-0.4226709473108619
rolling_COGT_mean_24,-0.963175411219376
rolling_COGT_std_24,3.2262343662052544
rolling_COGT_max_24,-0.0014253525769176518
rolling_COGT_min_24,-0.09502901244111207
rolling_PT08.S1CO_mean_3,-0.017624187744866886
rolling_PT08.S1CO_std_3,-0.029912979318968923
rolling_PT08.S1CO_max_3,-0.010446448102703567
rolling_PT08.S1CO_min_3,-0.011875017241452172
rolling_PT08.S1CO_mean_6,0.01193487301110815
rolling_PT08.S1CO_std_6,-0.026244268092724413
rolling_PT08.S1CO_max_6,-0.006839623774319292
rolling_PT08.S1CO_min_6,0.010094511481719321
rolling_PT08.S1CO_mean_12,-0.0011912042302330858
rolling_PT08.S1CO_std_12,-0.012842291015954443
rolling_PT08.S1CO_max_12,0.006502422954654768
rolling_PT08.S1CO_min_12,-0.013357570213995787
rolling_PT08.S1CO_mean_24,-0.00036545007980237073
rolling_PT08.S1CO_std_24,-0.005552622831875634
rolling_PT08.S1CO_max_24,0.002645463834294019
rolling_PT08.S1CO_min_24,-0.027224248631553427
rolling_C6H6GT_mean_3,-0.5256449031296475
rolling_C6H6GT_std_3,0.21148484153575675
rolling_C6H6GT_max_3,-0.08106059816417567
rolling_C6H6GT_min_3,-0.04493155099445387
rolling_C6H6GT_mean_6,-0.7570742507482062
rolling_C6H6GT_std_6,0.21016304623450513
rolling_C6H6GT_max_6,-0.24998297953312093
rolling_C6H6GT_min_6,-0.3614803454773826
rolling_C6H6GT_mean_12,-1.2792693547788085
rolling_C6H6GT_std_12,-0.7115122340251456
rolling_C6H6GT_max_12,0.2676592425792691
rolling_C6H6GT_min_12,-0.39083652305731276
rolling_C6H6GT_mean_24,0.7121862031068199
rolling_C6H6GT_std_24,1.4433934184004757
rolling_C6H6GT_max_24,0.13830044799965993
rolling_C6H6GT_min_24,0.44090121781240144
rolling_NOxGT_mean_3,0.12059176121694842
rolling_NOxGT_std_3,0.18599897311515803
rolling_NOxGT_max_3,0.08682018878403763
rolling_NOxGT_min_3,0.09784184605712327
rolling_NOxGT_mean_6,-0.02543679679848648
rolling_NOxGT_std_6,-0.027856454441584917
rolling_NOxGT_max_6,0.0030736528516762444
rolling_NOxGT_min_6,0.13109243802512563
rolling_NOxGT_mean_12,-0.005152407612595256
rolling_NOxGT_std_12,-0.033639895712028155
rolling_NOxGT_max_12,0.026376091925716407
rolling_NOxGT_min_12,-0.0061961265194081586
rolling_NOxGT_mean_24,0.09168479733491296
rolling_NOxGT_std_24,0.061404370869038744
rolling_NOxGT_max_24,-0.03924505081263402
rolling_NOxGT_min_24,0.06661862441392187
rolling_PT08.S3NOx_mean_3,-0.011613780272025993
rolling_PT08.S3NOx_std_3,-0.016981052491827776
rolling_PT08.S3NOx_max_3,-0.014892953094004423
rolling_PT08.S3NOx_min_3,-0.012479629786363819
rolling_PT08.S3NOx_mean_6,-0.0068135191142871575
rolling_PT08.S3NOx_std_6,0.025229427892053645
rolling_PT08.S3NOx_max_6,0.00557523314309615
rolling_PT08.S3NOx_min_6,0.008243873894833043
