feature,coefficient
COGT,41.23424484720551
PT08.S1CO,0.04373964087385784
C6H6GT,1.5079829945430065
PT08.S3NOx,0.044077236502235995
NO2GT,1.3664901194366852
PT08.S4NO2,-0.03701058554908381
PT08.S5O3,-0.00044680012928273194
T,0.7493925899604301
RH,0.9430641994303277
AH,-28.951464273132434
rolling_COGT_mean_3,-9.318187023687564
rolling_COGT_std_3,-13.541342964837927
rolling_COGT_max_3,6.519743983373398
rolling_COGT_min_3,-3.3598088549153977
rolling_COGT_mean_6,16.348552134333534
rolling_COGT_std_6,-0.24718643956727285
rolling_COGT_max_6,-4.47236628668164
rolling_COGT_min_6,-14.242410949959838
rolling_COGT_mean_12,-13.941707595531227
rolling_COGT_std_12,-12.3587904293822
rolling_COGT_max_12,8.717498537267005
rolling_COGT_min_12,4.878949343235839
rolling_COGT_mean_24,-0.4220323994693673
rolling_COGT_std_24,7.399631807743284
rolling_COGT_max_24,-1.5425551862523046
rolling_COGT_min_24,0.5624993640568745
rolling_PT08.S1CO_mean_3,-0.08304473192861894
rolling_PT08.S1CO_std_3,-0.18487832314008099
rolling_PT08.S1CO_max_3,0.09409056616220805
rolling_PT08.S1CO_min_3,-0.08479175430933181
rolling_PT08.S1CO_mean_6,0.10292077664234134
rolling_PT08.S1CO_std_6,0.005795678155515312
rolling_PT08.S1CO_max_6,-0.038261825115394145
rolling_PT08.S1CO_min_6,0.007641070150052471
rolling_PT08.S1CO_mean_12,0.010626610104606625
rolling_PT08.S1CO_std_12,-0.04699845205160145
rolling_PT08.S1CO_max_12,0.014330031872552546
rolling_PT08.S1CO_min_12,-0.028640637124750245
rolling_PT08.S1CO_mean_24,-0.029020009310105503
rolling_PT08.S1CO_std_24,-0.006452134305705885
rolling_PT08.S1CO_max_24,0.00822004822471433
rolling_PT08.S1CO_min_24,-0.03116615163505267
rolling_C6H6GT_mean_3,-0.15858864063126496
rolling_C6H6GT_std_3,1.9070071486119347
rolling_C6H6GT_max_3,-0.3626007251939771
rolling_C6H6GT_min_3,0.9093533920367308
rolling_C6H6GT_mean_6,0.601691647339224
rolling_C6H6GT_std_6,-0.028935270656613686
rolling_C6H6GT_max_6,-0.759677335366795
rolling_C6H6GT_min_6,-0.4620428746360604
rolling_C6H6GT_mean_12,-5.138611006093589
rolling_C6H6GT_std_12,-0.20554557269830326
rolling_C6H6GT_max_12,0.48647330340223516
rolling_C6H6GT_min_12,-0.21441448890886708
rolling_C6H6GT_mean_24,2.83200704518795
rolling_C6H6GT_std_24,1.4268105970702947
rolling_C6H6GT_max_24,0.016735306476879337
rolling_C6H6GT_min_24,1.0069294065722223
rolling_NOxGT_mean_3,0.2934293029450861
rolling_NOxGT_std_3,0.14933716197987582
rolling_NOxGT_max_3,-0.13255168575922543
rolling_NOxGT_min_3,-0.1690210570979498
rolling_NOxGT_mean_6,-0.34615931621479856
rolling_NOxGT_std_6,0.18915682084856697
rolling_NOxGT_max_6,-0.06457503534777971
rolling_NOxGT_min_6,0.3229287071470978
rolling_NOxGT_mean_12,0.08650263880696442
rolling_NOxGT_std_12,-0.15078622081386012
rolling_NOxGT_max_12,0.05912382283188734
rolling_NOxGT_min_12,-0.12518930385714455
rolling_NOxGT_mean_24,0.1346287214628991
rolling_NOxGT_std_24,0.16322181648358175
rolling_NOxGT_max_24,-0.07503750937399321
rolling_NOxGT_min_24,0.09529469089684638
rolling_PT08.S3NOx_mean_3,-0.04485993786604257
rolling_PT08.S3NOx_std_3,0.05206731032750348
rolling_PT08.S3NOx_max_3,-0.048615598713541465
rolling_PT08.S3NOx_min_3,0.028630214408246177
rolling_PT08.S3NOx_mean_6,0.0336703630703522
rolling_PT08.S3NOx_std_6,-0.021303058623607242
rolling_PT08.S3NOx_max_6,0.009501899684803269
rolling_PT08.S3NOx_min_6,-0.010512207123974618
rolling_PT08.S3NOx_mean_12,0.015397461531689922
rolling_PT08.S3NOx_std_12,0.03307869976215495
rolling_PT08.S3NOx_max_12,-0.02013251380942427
rolling_PT08.S3NOx_min_12,0.008163073411830946
rolling_PT08.S3NOx_mean_24,-0.049939289490965176
rolling_PT08.S3NOx_std_24,-0.0012687195964591145
rolling_PT08.S3NOx_max_24,0.012889015738122678
rolling_PT08.S3NOx_min_24,0.013584863388096986
rolling_NO2GT_mean_3,-0.39145963595879063
rolling_NO2GT_std_3,-0.24237470963273838
rolling_NO2GT_max_3,0.07270416975674833
rolling_NO2GT_min_3,0.14097060814441145
rolling_NO2GT_mean_6,0.567057182195245
rolling_NO2GT_std_6,-0.32362102404209825
rolling_NO2GT_max_6,0.09359213561495866
rolling_NO2GT_min_6,-0.35646696504625164
rolling_NO2GT_mean_12,-0.13861627703033955
rolling_NO2GT_std_12,0.26089610942202524
rolling_NO2GT_max_12,-0.14121918424953603
rolling_NO2GT_min_12,0.14686714904315354
rolling_NO2GT_mean_24,-0.26208454079531124
rolling_NO2GT_std_24,-0.3429405742879116
rolling_NO2GT_max_24,0.21628578238647822
rolling_NO2GT_min_24,-0.16626620198103123
rolling_PT08.S4NO2_mean_3,0.09577682790326991
rolling_PT08.S4NO2_std_3,0.20723681166535748
rolling_PT08.S4NO2_max_3,-0.14070094771971325
rolling_PT08.S4NO2_min_3,0.08657307355139313
rolling_PT08.S4NO2_mean_6,-0.10912048060363877
rolling_PT08.S4NO2_std_6,0.019662110662183294
rolling_PT08.S4NO2_max_6,0.0483589075392317
rolling_PT08.S4NO2_min_6,0.005121341562528875
rolling_PT08.S4NO2_mean_12,0.1449826130991962
rolling_PT08.S4NO2_std_12,0.0023759669114251135
rolling_PT08.S4NO2_max_12,-0.03290944451806655
rolling_PT08.S4NO2_min_12,-0.003863861201396805
