feature,coefficient
COGT,40.87751540991276
PT08.S1CO,0.04006638356468241
C6H6GT,1.4815780842948356
PT08.S3NOx,0.04207462079814612
NO2GT,1.3506557505323933
PT08.S4NO2,-0.032038678764063175
PT08.S5O3,-0.0006125681911726267
T,0.0
RH,0.6293168923625823
AH,-16.846921118759816
rolling_COGT_mean_3,0.30310210736382903
rolling_COGT_std_3,-7.817289375494755
rolling_COGT_max_3,-0.19722295789613878
rolling_COGT_min_3,-4.685128709553819
rolling_COGT_mean_6,1.2373573189917724
rolling_COGT_std_6,1.3959000401026278
rolling_COGT_max_6,-3.3328105260053102
rolling_COGT_min_6,-9.58886316942496
rolling_COGT_mean_12,-6.256420127414602
rolling_COGT_std_12,-9.502689215912392
rolling_COGT_max_12,6.407744883181319
rolling_COGT_min_12,1.6697368637883245
rolling_COGT_mean_24,-1.3308026997762423
rolling_COGT_std_24,2.9658601993156615
rolling_COGT_max_24,-0.27295191260527313
rolling_COGT_min_24,0.004102430800645949
rolling_PT08.S1CO_mean_3,-0.025650323642131784
rolling_PT08.S1CO_std_3,-0.015649522940839482
rolling_PT08.S1CO_max_3,-0.006897423097365115
rolling_PT08.S1CO_min_3,-0.004423108452920102
rolling_PT08.S1CO_mean_6,0.027686040726155235
rolling_PT08.S1CO_std_6,-0.03835128627116178
rolling_PT08.S1CO_max_6,-0.003897239373073508
rolling_PT08.S1CO_min_6,0.0028749196334339542
rolling_PT08.S1CO_mean_12,0.001136125453271737
rolling_PT08.S1CO_std_12,-0.0014150617609966357
rolling_PT08.S1CO_max_12,0.0
rolling_PT08.S1CO_min_12,-0.014835425061653326
rolling_PT08.S1CO_mean_24,-0.0
rolling_PT08.S1CO_std_24,-0.0
rolling_PT08.S1CO_max_24,0.0016717539507851951
rolling_PT08.S1CO_min_24,-0.03045125869490331
rolling_C6H6GT_mean_3,0.0
rolling_C6H6GT_std_3,0.36726277750626257
rolling_C6H6GT_max_3,0.0
rolling_C6H6GT_min_3,0.0
rolling_C6H6GT_mean_6,-0.7955505377067101
rolling_C6H6GT_std_6,-0.0
rolling_C6H6GT_max_6,-0.25875927945040117
rolling_C6H6GT_min_6,-0.2266038787361886
rolling_C6H6GT_mean_12,-2.276846809473291
rolling_C6H6GT_std_12,-0.4686579436865569
rolling_C6H6GT_max_12,0.2906293435731893
rolling_C6H6GT_min_12,-0.07002952773610348
rolling_C6H6GT_mean_24,1.002413531636674
rolling_C6H6GT_std_24,1.4499824194040432
rolling_C6H6GT_max_24,0.06646021352127789
rolling_C6H6GT_min_24,0.3293934572592491
rolling_NOxGT_mean_3,0.32414976838346116
rolling_NOxGT_std_3,0.1521735053721069
rolling_NOxGT_max_3,0.05422894201072647
rolling_NOxGT_min_3,0.027726361409631802
rolling_NOxGT_mean_6,-0.03588531085617026
rolling_NOxGT_std_6,0.044129068243511996
rolling_NOxGT_max_6,-0.035074051506987405
rolling_NOxGT_min_6,0.2075924614561963
rolling_NOxGT_mean_12,0.009189983053182919
rolling_NOxGT_std_12,-0.04934698062340881
rolling_NOxGT_max_12,0.035742637239305736
rolling_NOxGT_min_12,-0.05143639129170885
rolling_NOxGT_mean_24,0.1420632571603022
rolling_NOxGT_std_24,0.11098845160146338
rolling_NOxGT_max_24,-0.059490297753202526
rolling_NOxGT_min_24,0.07075297474064972
rolling_PT08.S3NOx_mean_3,-0.021219457904680005
rolling_PT08.S3NOx_std_3,-0.0
rolling_PT08.S3NOx_max_3,-0.027756798500664228
rolling_PT08.S3NOx_min_3,-0.004662692480947866
rolling_PT08.S3NOx_mean_6,0.008012523306290258
rolling_PT08.S3NOx_std_6,0.012687487129310147
rolling_PT08.S3NOx_max_6,0.0032826470899750756
rolling_PT08.S3NOx_min_6,0.005118660858154821
rolling_PT08.S3NOx_mean_12,0.0
rolling_PT08.S3NOx_std_12,0.023736263794821518
rolling_PT08.S3NOx_max_12,-0.011868808950160344
rolling_PT08.S3NOx_min_12,0.004709644527879555
rolling_PT08.S3NOx_mean_24,-0.012634686470337086
rolling_PT08.S3NOx_std_24,0.0
rolling_PT08.S3NOx_max_24,0.0040221546327200795
rolling_PT08.S3NOx_min_24,0.0008910966298244637
rolling_NO2GT_mean_3,-0.17097771456808175
rolling_NO2GT_std_3,-0.31054704517151677
rolling_NO2GT_max_3,-0.1765666231686526
rolling_NO2GT_min_3,-0.20326050955542713
rolling_NO2GT_mean_6,0.030015969142259975
rolling_NO2GT_std_6,-0.008862412264483545
rolling_NO2GT_max_6,-0.0
rolling_NO2GT_min_6,-0.15818385894970668
rolling_NO2GT_mean_12,-0.03079684952385603
rolling_NO2GT_std_12,-0.011855159241933666
rolling_NO2GT_max_12,-0.06609344751500419
rolling_NO2GT_min_12,0.016709110711226348
rolling_NO2GT_mean_24,-0.2810079040514471
rolling_NO2GT_std_24,-0.1945434465737431
rolling_NO2GT_max_24,0.17232132593862723
rolling_NO2GT_min_24,-0.10445320261280751
rolling_PT08.S4NO2_mean_3,0.006041814734066673
rolling_PT08.S4NO2_std_3,0.0004285181701463375
rolling_PT08.S4NO2_max_3,-0.0
rolling_PT08.S4NO2_min_3,0.0008973691466263867
rolling_PT08.S4NO2_mean_6,-0.0
rolling_PT08.S4NO2_std_6,0.053673204060908246
rolling_PT08.S4NO2_max_6,0.004846078993601316
rolling_PT08.S4NO2_min_6,0.000191298439702462
rolling_PT08.S4NO2_mean_12,0.02842936805494227
rolling_PT08.S4NO2_std_12,-0.01469751632229303
rolling_PT08.S4NO2_max_12,-0.011723607253737335
rolling_PT08.S4NO2_min_12,-0.0
rolling_PT08.S4NO2_mean_24,-0.022031044843973252
rolling_PT08.S4NO2_std_24,-0.042364794809428875
rolling_PT08.S4NO2_max_24,-0.0
rolling_PT08.S4NO2_min_24,-0.0072535796508162356
rolling_PT08.S5O3_mean_3,-0.0025069684912281984
rolling_PT08.S5O3_std_3,0.008970926240657956
rolling_PT08.S5O3_max_3,0.0
rolling_PT08.S5O3_min_3,-0.00011142114687084866
rolling_PT08.S5O3_mean_6,0.00950689325706119
