feature,coefficient
COGT,10.781234272531472
PT08.S1CO,0.02884152199180199
C6H6GT,1.1186732487276794
PT08.S3NOx,-0.017698092977397446
NO2GT,0.3333243967033644
PT08.S4NO2,0.021489077000551915
PT08.S5O3,0.017837851107040503
T,-0.031451435760202776
RH,0.047266344041088364
AH,0.0
rolling_COGT_mean_3,0.43746916901042
rolling_COGT_std_3,2.0280905687830177
rolling_COGT_max_3,0.6154113810873356
rolling_COGT_min_3,0.4724538613515474
rolling_COGT_mean_6,-1.1871691864430858
rolling_COGT_std_6,-1.4982140946983846
rolling_COGT_max_6,-0.4250790267831724
rolling_COGT_min_6,0.06928719247211658
rolling_COGT_mean_12,-1.3104027777874403
rolling_COGT_std_12,-0.3940845750906113
rolling_COGT_max_12,-0.013552651689896117
rolling_COGT_min_12,-0.5390630996178178
rolling_COGT_mean_24,0.32505676516719023
rolling_COGT_std_24,0.45999040460750984
rolling_COGT_max_24,0.2036828449536631
rolling_COGT_min_24,0.009895515033136668
rolling_PT08.S1CO_mean_3,-0.004783824894439227
rolling_PT08.S1CO_std_3,-0.00775611916294273
rolling_PT08.S1CO_max_3,-0.0036011319828988383
rolling_PT08.S1CO_min_3,-0.00383802912461371
rolling_PT08.S1CO_mean_6,-0.008073401644973097
rolling_PT08.S1CO_std_6,-0.007368352728235953
rolling_PT08.S1CO_max_6,-0.00413723189055654
rolling_PT08.S1CO_min_6,-0.004666618931057897
rolling_PT08.S1CO_mean_12,-0.008290298560683055
rolling_PT08.S1CO_std_12,-0.0014487434197865269
rolling_PT08.S1CO_max_12,-0.001298161464669729
rolling_PT08.S1CO_min_12,-0.012513864876601565
rolling_PT08.S1CO_mean_24,-0.001933713690232443
rolling_PT08.S1CO_std_24,-0.0
rolling_PT08.S1CO_max_24,-0.0002066289143622689
rolling_PT08.S1CO_min_24,-0.007444558512927432
rolling_C6H6GT_mean_3,0.016146079175973976
rolling_C6H6GT_std_3,0.07538022739074923
rolling_C6H6GT_max_3,0.031580887372404824
rolling_C6H6GT_min_3,0.043558544851581206
rolling_C6H6GT_mean_6,-0.10240110208048153
rolling_C6H6GT_std_6,0.0
rolling_C6H6GT_max_6,-0.0008926581064206257
rolling_C6H6GT_min_6,-0.0
rolling_C6H6GT_mean_12,-0.11342077961588792
rolling_C6H6GT_std_12,0.08341848769690173
