feature,coefficient
COGT,26.56948534033637
PT08.S1CO,0.029748956079524817
C6H6GT,1.35731914817579
PT08.S3NOx,0.013052888006493742
NO2GT,0.8371244919364262
PT08.S4NO2,0.014031985874520972
PT08.S5O3,0.01305136637570629
T,-0.3620126375494403
RH,0.1945813828731396
AH,-5.828913575532793
rolling_COGT_mean_3,-1.3980404311796937
rolling_COGT_std_3,-0.25237048227075487
rolling_COGT_max_3,-0.8650673074027032
rolling_COGT_min_3,-1.3443033788913485
rolling_COGT_mean_6,-3.2431675766929535
rolling_COGT_std_6,-3.4189792356778685
rolling_COGT_max_6,-1.9190118909534775
rolling_COGT_min_6,-1.8069596291837593
rolling_COGT_mean_12,-2.737724479083067
rolling_COGT_std_12,-0.34876418822086847
rolling_COGT_max_12,0.7823010558819529
rolling_COGT_min_12,-1.9441624110702167
rolling_COGT_mean_24,0.7393448084548533
rolling_COGT_std_24,2.7252731304228113
rolling_COGT_max_24,0.38256562284057777
rolling_COGT_min_24,-1.2622685956616502
rolling_PT08.S1CO_mean_3,-0.007638434979697693
rolling_PT08.S1CO_std_3,-0.03459386989664909
rolling_PT08.S1CO_max_3,-0.007850344491185003
rolling_PT08.S1CO_min_3,-0.004567549174323171
rolling_PT08.S1CO_mean_6,0.0
rolling_PT08.S1CO_std_6,-0.00635676510664193
rolling_PT08.S1CO_max_6,-0.003976437747665193
rolling_PT08.S1CO_min_6,-0.00028691296815167147
rolling_PT08.S1CO_mean_12,-0.0043540128033105795
rolling_PT08.S1CO_std_12,-0.012620473761012866
rolling_PT08.S1CO_max_12,0.0037233548220802566
rolling_PT08.S1CO_min_12,-0.010873750621058147
rolling_PT08.S1CO_mean_24,0.003274092478069192
rolling_PT08.S1CO_std_24,0.00034953779368792693
rolling_PT08.S1CO_max_24,0.0011349290850084209
rolling_PT08.S1CO_min_24,-0.014777578279093333
rolling_C6H6GT_mean_3,0.024547489807900877
rolling_C6H6GT_std_3,0.19754971724615775
rolling_C6H6GT_max_3,0.04251786846708409
rolling_C6H6GT_min_3,0.04160508483651143
rolling_C6H6GT_mean_6,-0.15031053574121572
rolling_C6H6GT_std_6,0.3374574334469929
rolling_C6H6GT_max_6,-0.046242022632057005
rolling_C6H6GT_min_6,-0.2849400949071989
rolling_C6H6GT_mean_12,-0.3078994594075431
rolling_C6H6GT_std_12,-0.21317464598991603
rolling_C6H6GT_max_12,0.13183427924112193
rolling_C6H6GT_min_12,-0.523554634008182
rolling_C6H6GT_mean_24,0.48203963519802917
rolling_C6H6GT_std_24,0.5307502357279292
rolling_C6H6GT_max_24,0.07538784843488762
rolling_C6H6GT_min_24,-0.0
rolling_NOxGT_mean_3,0.09563365295539869
rolling_NOxGT_std_3,0.15750852570710408
rolling_NOxGT_max_3,0.08497090547786343
rolling_NOxGT_min_3,0.0973287328765934
rolling_NOxGT_mean_6,0.025000711549417534
rolling_NOxGT_std_6,0.004322835392519509
rolling_NOxGT_max_6,0.030529580009772996
rolling_NOxGT_min_6,0.07919702931817449
rolling_NOxGT_mean_12,0.019531644642404453
rolling_NOxGT_std_12,-0.03498558495986364
rolling_NOxGT_max_12,0.01874256547861155
rolling_NOxGT_min_12,0.046409960706813885
rolling_NOxGT_mean_24,0.058694808940437944
rolling_NOxGT_std_24,-0.00027959299921899265
rolling_NOxGT_max_24,0.0001510859999401228
rolling_NOxGT_min_24,0.06001676883461217
rolling_PT08.S3NOx_mean_3,0.0
rolling_PT08.S3NOx_std_3,-0.0055910906550848335
rolling_PT08.S3NOx_max_3,-0.001264179897410124
rolling_PT08.S3NOx_min_3,-0.0
rolling_PT08.S3NOx_mean_6,-0.011143308268319605
rolling_PT08.S3NOx_std_6,0.013923588829088864
rolling_PT08.S3NOx_max_6,-0.00011672447567257823
rolling_PT08.S3NOx_min_6,-0.0024614884585271836
rolling_PT08.S3NOx_mean_12,-0.005850895356099567
rolling_PT08.S3NOx_std_12,-0.008903268269219685
rolling_PT08.S3NOx_max_12,-0.002650811520648345
rolling_PT08.S3NOx_min_12,-0.009730410108522733
rolling_PT08.S3NOx_mean_24,-0.0014532061523686195
rolling_PT08.S3NOx_std_24,-0.004331150586694323
rolling_PT08.S3NOx_max_24,0.0024358473100985845
