feature,coefficient
COGT,39.077549209321155
PT08.S1CO,0.03897945973454959
C6H6GT,1.5969161368516054
PT08.S3NOx,0.041147763442899624
NO2GT,1.2896634081851193
PT08.S4NO2,-0.02507536366027042
PT08.S5O3,-0.00047620956539592063
T,-0.24843047811242916
RH,0.5276031037209579
AH,-13.808437335429845
rolling_COGT_mean_3,-4.451673365231862
rolling_COGT_std_3,-5.460084029312352
rolling_COGT_max_3,-3.3800529682129214
rolling_COGT_min_3,-5.833354430371637
rolling_COGT_mean_6,-0.24850051613434823
rolling_COGT_std_6,0.32292321728463586
rolling_COGT_max_6,-3.0676286199555687
rolling_COGT_min_6,-7.791048938734222
rolling_COGT_mean_12,-5.097556759549539
rolling_COGT_std_12,-5.945041867431404
rolling_COGT_max_12,4.4033461044039095
rolling_COGT_min_12,0.0
rolling_COGT_mean_24,-1.2839296614819675
rolling_COGT_std_24,3.0945427973909516
rolling_COGT_max_24,-0.03771753665457861
rolling_COGT_min_24,0.0
rolling_PT08.S1CO_mean_3,-0.012625629205292591
rolling_PT08.S1CO_std_3,-0.02518983489911329
rolling_PT08.S1CO_max_3,-0.009828915389788005
rolling_PT08.S1CO_min_3,-0.01116040504307743
rolling_PT08.S1CO_mean_6,0.015071612305357104
rolling_PT08.S1CO_std_6,-0.02833225477025015
rolling_PT08.S1CO_max_6,-0.006355275953384001
rolling_PT08.S1CO_min_6,0.008999833223975117
rolling_PT08.S1CO_mean_12,0.00014917721329491869
rolling_PT08.S1CO_std_12,-0.005104884718331167
rolling_PT08.S1CO_max_12,0.004270587748348389
rolling_PT08.S1CO_min_12,-0.01369534622620514
rolling_PT08.S1CO_mean_24,-0.0
rolling_PT08.S1CO_std_24,-0.004818807797984183
rolling_PT08.S1CO_max_24,0.0019486131037400943
rolling_PT08.S1CO_min_24,-0.031041403229203336
rolling_C6H6GT_mean_3,0.09781008856882947
rolling_C6H6GT_std_3,0.39736752383372104
rolling_C6H6GT_max_3,0.06354692844919015
rolling_C6H6GT_min_3,0.19544610746451693
rolling_C6H6GT_mean_6,-0.711042828710503
