feature,coefficient
COGT,0.5034827987632998
PT08.S1CO,0.008295835326106959
NOxGT,0.00282927405294479
PT08.S3NOx,0.002450225113279677
NO2GT,-0.010779563608236535
PT08.S4NO2,0.016662273498684058
PT08.S5O3,0.0028567076853842892
T,-0.024109598645293735
RH,-0.030072305198395752
AH,-5.697442391077855
rolling_COGT_mean_3,-0.020810837470490944
rolling_COGT_std_3,-0.18543535176334694
rolling_COGT_max_3,-0.07634689447488274
rolling_COGT_min_3,-0.0
rolling_COGT_mean_6,0.028376503223258753
rolling_COGT_std_6,0.17172268274999622
rolling_COGT_max_6,0.0
rolling_COGT_min_6,-0.07999252051100698
rolling_COGT_mean_12,0.0
rolling_COGT_std_12,-0.30164293153040594
rolling_COGT_max_12,-0.04719476497013415
rolling_COGT_min_12,0.0
rolling_COGT_mean_24,0.056569191084856266
rolling_COGT_std_24,0.0
rolling_COGT_max_24,0.04452745387746473
rolling_COGT_min_24,0.0
rolling_PT08.S1CO_mean_3,-0.002072942858150218
rolling_PT08.S1CO_std_3,0.0014144167835555843
rolling_PT08.S1CO_max_3,-0.00028882526773038245
rolling_PT08.S1CO_min_3,-0.0011529747892364964
rolling_PT08.S1CO_mean_6,-0.0
rolling_PT08.S1CO_std_6,0.001474234113952619
rolling_PT08.S1CO_max_6,2.5437680188304126e-05
rolling_PT08.S1CO_min_6,-0.0009459161595003492
rolling_PT08.S1CO_mean_12,-0.0003875525201426945
rolling_PT08.S1CO_std_12,0.0
rolling_PT08.S1CO_max_12,2.1304116315717604e-05
rolling_PT08.S1CO_min_12,-0.00019056797880929186
rolling_PT08.S1CO_mean_24,-0.001610286369231937
rolling_PT08.S1CO_std_24,-0.0
rolling_PT08.S1CO_max_24,-0.0004713424389567823
rolling_PT08.S1CO_min_24,-0.0026995268880474184
rolling_C6H6GT_mean_3,0.09601005316237611
rolling_C6H6GT_std_3,0.09594059086823384
rolling_C6H6GT_max_3,0.07894739395692123
rolling_C6H6GT_min_3,0.18173369276217924
rolling_C6H6GT_mean_6,0.05036180559726427
rolling_C6H6GT_std_6,0.031261674729335547
rolling_C6H6GT_max_6,0.020360587553414997
rolling_C6H6GT_min_6,0.07814492354727286
rolling_C6H6GT_mean_12,0.0
rolling_C6H6GT_std_12,0.06960555231797026
rolling_C6H6GT_max_12,0.009601351353671843
rolling_C6H6GT_min_12,0.03216627302364817
rolling_C6H6GT_mean_24,0.0336808247806435
rolling_C6H6GT_std_24,0.02513454803523585
rolling_C6H6GT_max_24,0.0064939563065712965
rolling_C6H6GT_min_24,0.1675501297341458
rolling_NOxGT_mean_3,-0.0
rolling_NOxGT_std_3,0.001088524035578236
rolling_NOxGT_max_3,9.135111055823786e-06
rolling_NOxGT_min_3,0.0
rolling_NOxGT_mean_6,-0.0004342821164283381
rolling_NOxGT_std_6,-0.0012144290314099904
rolling_NOxGT_max_6,-0.0
rolling_NOxGT_min_6,0.0
rolling_NOxGT_mean_12,-0.0
rolling_NOxGT_std_12,0.0001429673374511807
rolling_NOxGT_max_12,0.000798947430374845
rolling_NOxGT_min_12,-0.0008390786773997111
rolling_NOxGT_mean_24,0.0
rolling_NOxGT_std_24,-0.00028257371785480185
rolling_NOxGT_max_24,0.0001766052942666534
rolling_NOxGT_min_24,9.944689482935552e-05
rolling_PT08.S3NOx_mean_3,-8.292359455848368e-05
rolling_PT08.S3NOx_std_3,0.0
rolling_PT08.S3NOx_max_3,-2.356829004191132e-05
rolling_PT08.S3NOx_min_3,-0.0006240101183102022
rolling_PT08.S3NOx_mean_6,-0.0008631201931280246
rolling_PT08.S3NOx_std_6,-0.0
rolling_PT08.S3NOx_max_6,0.0
rolling_PT08.S3NOx_min_6,-0.0010325576640472134
rolling_PT08.S3NOx_mean_12,-0.0011556153045717756
rolling_PT08.S3NOx_std_12,-0.00019918523298993675
rolling_PT08.S3NOx_max_12,0.0
rolling_PT08.S3NOx_min_12,1.642710538915799e-05
rolling_PT08.S3NOx_mean_24,-0.00027651767871452197
rolling_PT08.S3NOx_std_24,-0.00022865272658839018
rolling_PT08.S3NOx_max_24,-0.00012973963809129004
rolling_PT08.S3NOx_min_24,-0.0
rolling_NO2GT_mean_3,0.0037937231609824844
rolling_NO2GT_std_3,-0.003021465826939176
rolling_NO2GT_max_3,0.0008675772813481533
