feature,coefficient
COGT,0.4589224679370087
PT08.S1CO,0.0075093483785326895
NOxGT,0.002126319235829456
PT08.S3NOx,0.0025377759136379465
NO2GT,-0.008199565014909361
PT08.S4NO2,0.01818334967767992
PT08.S5O3,0.0023129574779164816
T,-0.0
RH,-0.021542676736912757
AH,-6.115579097139618
rolling_COGT_mean_3,-0.0
rolling_COGT_std_3,-0.1049123193006157
rolling_COGT_max_3,-0.0
rolling_COGT_min_3,0.0
rolling_COGT_mean_6,0.0
rolling_COGT_std_6,0.026542726027244425
rolling_COGT_max_6,0.0
rolling_COGT_min_6,-0.0
rolling_COGT_mean_12,0.0
rolling_COGT_std_12,-0.16077845930702886
rolling_COGT_max_12,-0.0
rolling_COGT_min_12,0.0
rolling_COGT_mean_24,0.06619880845901854
rolling_COGT_std_24,-0.0
rolling_COGT_max_24,0.0
rolling_COGT_min_24,0.0
rolling_PT08.S1CO_mean_3,-0.0014885889807796614
rolling_PT08.S1CO_std_3,0.0
rolling_PT08.S1CO_max_3,-0.0
rolling_PT08.S1CO_min_3,-0.0011234946016548239
rolling_PT08.S1CO_mean_6,-0.0
rolling_PT08.S1CO_std_6,0.0
rolling_PT08.S1CO_max_6,-0.0
rolling_PT08.S1CO_min_6,-0.0016053304319322377
rolling_PT08.S1CO_mean_12,-0.00042564468419464444
rolling_PT08.S1CO_std_12,-0.0
rolling_PT08.S1CO_max_12,-0.0
rolling_PT08.S1CO_min_12,-0.0
rolling_PT08.S1CO_mean_24,-0.0011186438400991136
rolling_PT08.S1CO_std_24,-0.0
rolling_PT08.S1CO_max_24,-0.0003559489981741437
rolling_PT08.S1CO_min_24,-0.0026150439829209834
rolling_C6H6GT_mean_3,0.1039304337456362
rolling_C6H6GT_std_3,0.06952142949868655
rolling_C6H6GT_max_3,0.08806249627459369
rolling_C6H6GT_min_3,0.19646679172307013
rolling_C6H6GT_mean_6,0.03286682498880894
rolling_C6H6GT_std_6,0.0
rolling_C6H6GT_max_6,0.01317218738154099
rolling_C6H6GT_min_6,0.02994918399832649
rolling_C6H6GT_mean_12,0.0
rolling_C6H6GT_std_12,0.03499341403496918
rolling_C6H6GT_max_12,0.011040327962597353
rolling_C6H6GT_min_12,0.005353880071272714
rolling_C6H6GT_mean_24,0.045263411108118976
rolling_C6H6GT_std_24,0.03445381328013257
rolling_C6H6GT_max_24,0.002680821533865868
rolling_C6H6GT_min_24,0.17910566979705958
rolling_NOxGT_mean_3,-0.0
rolling_NOxGT_std_3,0.0
rolling_NOxGT_max_3,-0.0
rolling_NOxGT_min_3,-0.0
rolling_NOxGT_mean_6,-0.0
rolling_NOxGT_std_6,0.0
rolling_NOxGT_max_6,-0.0
rolling_NOxGT_min_6,-0.0
rolling_NOxGT_mean_12,-0.0
rolling_NOxGT_std_12,2.4159696596044706e-05
rolling_NOxGT_max_12,0.00033832472937692147
rolling_NOxGT_min_12,-0.00047230864142757474
rolling_NOxGT_mean_24,0.0
rolling_NOxGT_std_24,0.0
rolling_NOxGT_max_24,0.0002019492363630678
rolling_NOxGT_min_24,0.0
rolling_PT08.S3NOx_mean_3,-0.00013796741771179586
rolling_PT08.S3NOx_std_3,0.0
rolling_PT08.S3NOx_max_3,-0.0
rolling_PT08.S3NOx_min_3,-0.0006893005867298446
rolling_PT08.S3NOx_mean_6,-0.0011589508389263585
rolling_PT08.S3NOx_std_6,0.0
rolling_PT08.S3NOx_max_6,-0.0
rolling_PT08.S3NOx_min_6,-0.0007266792208073381
rolling_PT08.S3NOx_mean_12,-0.0009013868107573143
rolling_PT08.S3NOx_std_12,-1.2577532566675654e-05
rolling_PT08.S3NOx_max_12,-0.0
rolling_PT08.S3NOx_min_12,-0.0
rolling_PT08.S3NOx_mean_24,-0.0005471785285505024
rolling_PT08.S3NOx_std_24,-0.0
rolling_PT08.S3NOx_max_24,-2.1624194964255913e-05
rolling_PT08.S3NOx_min_24,-0.0
rolling_NO2GT_mean_3,0.0
rolling_NO2GT_std_3,-0.0
rolling_NO2GT_max_3,0.0
rolling_NO2GT_min_3,0.003889641290884298
rolling_NO2GT_mean_6,0.0
rolling_NO2GT_std_6,0.002238060265152862
rolling_NO2GT_max_6,0.0
rolling_NO2GT_min_6,-0.0
rolling_NO2GT_mean_12,-0.0
rolling_NO2GT_std_12,-0.0
rolling_NO2GT_max_12,0.0
rolling_NO2GT_min_12,-0.0025147127110009848
rolling_NO2GT_mean_24,9.157551733462027e-05
rolling_NO2GT_std_24,-0.0
rolling_NO2GT_max_24,-0.0006086367215026834
rolling_NO2GT_min_24,-0.0
rolling_PT08.S4NO2_mean_3,-0.005975534851651773
rolling_PT08.S4NO2_std_3,-0.0
rolling_PT08.S4NO2_max_3,-0.0027075322393041385
rolling_PT08.S4NO2_min_3,-0.0027832927440947504
rolling_PT08.S4NO2_mean_6,-0.0008847008191572225
rolling_PT08.S4NO2_std_6,-0.002719278057499111
rolling_PT08.S4NO2_max_6,-0.0
rolling_PT08.S4NO2_min_6,-0.00015542461065438175
rolling_PT08.S4NO2_mean_12,-0.0
rolling_PT08.S4NO2_std_12,-0.0
rolling_PT08.S4NO2_max_12,-0.0
rolling_PT08.S4NO2_min_12,-0.0
rolling_PT08.S4NO2_mean_24,-0.0023368735338151984
rolling_PT08.S4NO2_std_24,0.0
rolling_PT08.S4NO2_max_24,-0.0
rolling_PT08.S4NO2_min_24,-0.0009620709087648746
rolling_PT08.S5O3_mean_3,-0.00044865477708828304
rolling_PT08.S5O3_std_3,-0.0
rolling_PT08.S5O3_max_3,-0.0002599434917817204
rolling_PT08.S5O3_min_3,-0.0005618891399957714
rolling_PT08.S5O3_mean_6,0.0
rolling_PT08.S5O3_std_6,-0.0001436604039881581
rolling_PT08.S5O3_max_6,-0.00013354284006498462
rolling_PT08.S5O3_min_6,-0.0
rolling_PT08.S5O3_mean_12,-0.0
rolling_PT08.S5O3_std_12,-0.0
rolling_PT08.S5O3_max_12,0.0
rolling_PT08.S5O3_min_12,0.00035258411759917104
rolling_PT08.S5O3_mean_24,0.0
rolling_PT08.S5O3_std_24,-0.00051412262296803
rolling_PT08.S5O3_max_24,-0.0
rolling_PT08.S5O3_min_24,-0.0005519691351847036
rolling_T_mean_3,0.0
rolling_T_std_3,-0.003822318205156822
rolling_T_max_3,0.0
rolling_T_min_3,0.0
rolling_T_mean_6,-0.0
rolling_T_std_6,-0.03574951261898102
rolling_T_max_6,-0.0
rolling_T_min_6,0.0
rolling_T_mean_12,-0.0
rolling_T_std_12,0.0
rolling_T_max_12,-0.0
rolling_T_min_12,-0.0
rolling_T_mean_24,0.0
rolling_T_std_24,-0.0
rolling_T_max_24,0.0
rolling_T_min_24,0.0
rolling_RH_mean_3,0.0
rolling_RH_std_3,-0.010481831836240784
rolling_RH_max_3,0.0
rolling_RH_min_3,0.0
rolling_RH_mean_6,0.008096443605751699
rolling_RH_std_6,0.01782028675284701
rolling_RH_max_6,0.0
rolling_RH_min_6,0.0
rolling_RH_mean_12,0.0004788780025545164
rolling_RH_std_12,0.004624363276996767
rolling_RH_max_12,0.004790318394769758
rolling_RH_min_12,0.0
rolling_RH_mean_24,-0.0
rolling_RH_std_24,-0.014314384388353144
rolling_RH_max_24,-0.0
rolling_RH_min_24,-0.0
rolling_AH_mean_3,1.1559187000682856
rolling_AH_std_3,0.0
rolling_AH_max_3,0.6402186132604629
rolling_AH_min_3,0.7082194642083766
rolling_AH_mean_6,1.2322395333994993
rolling_AH_std_6,0.03980874526431294
rolling_AH_max_6,0.032192857418062854
rolling_AH_min_6,0.0
rolling_AH_mean_12,0.2793551986405516
rolling_AH_std_12,-0.23768109600336146
rolling_AH_max_12,0.0
rolling_AH_min_12,0.012966515856241752
rolling_AH_mean_24,0.9399735066888191
rolling_AH_std_24,-0.0
rolling_AH_max_24,0.28349753996193494
rolling_AH_min_24,0.0
COGT_lag_1,-0.5204564916289318
COGT_lag_2,0.01690058990735007
COGT_lag_3,0.02518389976159922
COGT_lag_6,0.0
COGT_lag_9,0.0320662167514187
COGT_lag_12,-0.0267919411689743
COGT_lag_24,-0.09615867936733151
C6H6GT_lag_1,0.1878006202514452
C6H6GT_lag_2,0.00794779111124715
C6H6GT_lag_3,0.01247599792971383
C6H6GT_lag_6,-0.006682935478903459
C6H6GT_lag_9,0.0
C6H6GT_lag_12,-0.005950832005064161
C6H6GT_lag_24,0.021590486530393367
NOxGT_lag_1,-0.0
NOxGT_lag_2,-0.0003088421588599652
NOxGT_lag_3,-0.0005076774386524321
NOxGT_lag_6,-9.904322795432029e-05
NOxGT_lag_9,0.00015582307779235099
NOxGT_lag_12,0.0
NOxGT_lag_24,0.00033565138640236525
NO2GT_lag_1,-0.0
NO2GT_lag_2,0.004749262635298821
NO2GT_lag_3,0.0018370358561277643
NO2GT_lag_6,-0.00060321280205361
NO2GT_lag_9,-0.0018062491002431161
NO2GT_lag_12,-0.0
NO2GT_lag_24,-4.934971567642053e-05
hour_1,0.0
hour_2,0.0
hour_3,0.0
hour_4,0.0
hour_5,0.0
hour_6,-0.0
hour_7,0.0
hour_8,0.13129279839769165
hour_9,-0.1154908015896834
hour_10,-0.0
hour_11,0.0
hour_12,0.0
hour_13,0.0
hour_14,-0.0
hour_15,-0.001148919630530371
hour_16,-0.032303244346697894
hour_17,0.11010069377461704
hour_18,0.0
hour_19,0.06489766142466126
hour_20,-0.4152982282634207
hour_21,-0.21107203432963734
hour_22,-0.0
hour_23,-0.0
day_of_week_Monday,0.04489997548452096
day_of_week_Tuesday,0.0
day_of_week_Wednesday,0.02129557351164789
day_of_week_Thursday,0.0
day_of_week_Friday,0.014249444540414222
day_of_week_Saturday,-0.08921686194235576
INTERCEPT,0.793798936086036
