feature,coefficient
COGT,4.478890682346265
PT08.S1CO,-0.015090376851023565
C6H6GT,-0.7732646645924717
NOxGT,0.15802544115091743
PT08.S3NOx,-0.024880037160984112
PT08.S4NO2,0.0
PT08.S5O3,0.024172141333017205
T,0.27409237238145917
RH,-0.08763137480037546
AH,-2.830805493501519
rolling_COGT_mean_3,-2.1180805610947364
rolling_COGT_std_3,-0.0
rolling_COGT_max_3,-0.7644379602783138
rolling_COGT_min_3,-0.0
rolling_COGT_mean_6,-2.260151971933897
rolling_COGT_std_6,-0.9306623402358134
rolling_COGT_max_6,0.596727313670901
rolling_COGT_min_6,2.1890829994930194
rolling_COGT_mean_12,-0.06324587443530776
rolling_COGT_std_12,-0.38851299216435914
rolling_COGT_max_12,-0.11078925543022745
rolling_COGT_min_12,0.0
rolling_COGT_mean_24,0.0
rolling_COGT_std_24,1.3479443804362359
rolling_COGT_max_24,0.09595586959413493
rolling_COGT_min_24,-0.0017018298324103264
rolling_PT08.S1CO_mean_3,0.002638463502370482
rolling_PT08.S1CO_std_3,-0.0061630729332120375
rolling_PT08.S1CO_max_3,0.0
rolling_PT08.S1CO_min_3,0.0023033086454349937
rolling_PT08.S1CO_mean_6,0.01351863802335752
rolling_PT08.S1CO_std_6,0.0009610080820525234
rolling_PT08.S1CO_max_6,0.0
rolling_PT08.S1CO_min_6,-0.0006165900748340561
rolling_PT08.S1CO_mean_12,0.0
rolling_PT08.S1CO_std_12,-0.0
rolling_PT08.S1CO_max_12,-0.0051045726162560635
rolling_PT08.S1CO_min_12,0.0
rolling_PT08.S1CO_mean_24,0.003261810234243699
rolling_PT08.S1CO_std_24,-0.012064383902534153
rolling_PT08.S1CO_max_24,0.0
rolling_PT08.S1CO_min_24,0.002670302210200083
rolling_C6H6GT_mean_3,-0.0
rolling_C6H6GT_std_3,0.0
rolling_C6H6GT_max_3,-0.0
rolling_C6H6GT_min_3,-0.05683848189367046
rolling_C6H6GT_mean_6,0.0
rolling_C6H6GT_std_6,0.09560771176625833
rolling_C6H6GT_max_6,0.08043075934441313
rolling_C6H6GT_min_6,0.3002310039581402
