feature,coefficient
COGT,5.159914683100956
PT08.S1CO,-0.012654807377298146
C6H6GT,-0.7304749112316918
NOxGT,0.14224445969017918
PT08.S3NOx,-0.02438183468110807
PT08.S4NO2,-0.0
PT08.S5O3,0.023520268420625726
T,0.3098802350185786
RH,-0.08307106575772741
AH,-3.787136863951949
rolling_COGT_mean_3,-0.16196045595224615
rolling_COGT_std_3,-0.40328697076904296
rolling_COGT_max_3,-0.4639649409422013
rolling_COGT_min_3,-0.10060255181901538
rolling_COGT_mean_6,-1.3357136350282324
rolling_COGT_std_6,-1.6842502240624755
rolling_COGT_max_6,0.5122992683449966
rolling_COGT_min_6,1.3899622075100657
rolling_COGT_mean_12,-0.624256442587823
rolling_COGT_std_12,-0.3758813263203662
rolling_COGT_max_12,-0.0
rolling_COGT_min_12,0.4103358327555472
rolling_COGT_mean_24,0.0
rolling_COGT_std_24,1.30857462609441
rolling_COGT_max_24,0.16519428959448992
rolling_COGT_min_24,-0.1609490652617303
rolling_PT08.S1CO_mean_3,0.0032086586032767303
rolling_PT08.S1CO_std_3,-0.008531972824655992
rolling_PT08.S1CO_max_3,-0.0
rolling_PT08.S1CO_min_3,0.0031565237658993063
rolling_PT08.S1CO_mean_6,0.012264070072806405
rolling_PT08.S1CO_std_6,0.0026025973143615237
rolling_PT08.S1CO_max_6,0.0005400974278836666
rolling_PT08.S1CO_min_6,-0.0017270197973281744
rolling_PT08.S1CO_mean_12,0.0014463475483297607
rolling_PT08.S1CO_std_12,-0.0
rolling_PT08.S1CO_max_12,-0.006367909363152042
rolling_PT08.S1CO_min_12,0.0
rolling_PT08.S1CO_mean_24,0.002146110421467065
rolling_PT08.S1CO_std_24,-0.011360852491617016
rolling_PT08.S1CO_max_24,0.0
rolling_PT08.S1CO_min_24,0.0027036679709841064
rolling_C6H6GT_mean_3,-0.09716941369443323
rolling_C6H6GT_std_3,0.0
rolling_C6H6GT_max_3,-0.006620736370168604
rolling_C6H6GT_min_3,-0.1296231212669358
rolling_C6H6GT_mean_6,0.012521980893264568
rolling_C6H6GT_std_6,0.10790122915594232
rolling_C6H6GT_max_6,0.05788358732679885
rolling_C6H6GT_min_6,0.28394459620786167
rolling_C6H6GT_mean_12,0.1313448282763471
rolling_C6H6GT_std_12,0.1301011161389426
rolling_C6H6GT_max_12,-0.15950320155748032
rolling_C6H6GT_min_12,-0.30241562227529495
rolling_C6H6GT_mean_24,0.2775487956300328
rolling_C6H6GT_std_24,-0.22817092758710453
rolling_C6H6GT_max_24,0.0
rolling_C6H6GT_min_24,0.0
rolling_NOxGT_mean_3,-0.02228393871542852
rolling_NOxGT_std_3,-0.03582906550562103
rolling_NOxGT_max_3,-0.01662002020846201
rolling_NOxGT_min_3,-0.013565157067126295
rolling_NOxGT_mean_6,-0.0
rolling_NOxGT_std_6,0.01620848871990183
rolling_NOxGT_max_6,0.0
rolling_NOxGT_min_6,-0.03450050351390717
rolling_NOxGT_mean_12,-0.0021580348788289463
rolling_NOxGT_std_12,0.0038275919822113
rolling_NOxGT_max_12,0.00809141237367086
rolling_NOxGT_min_12,0.015537077748867636
rolling_NOxGT_mean_24,-0.023369700350980908
rolling_NOxGT_std_24,-0.02668665842525778
rolling_NOxGT_max_24,0.0022609498755935737
rolling_NOxGT_min_24,-0.011786493671531598
rolling_PT08.S3NOx_mean_3,0.013186520225629253
rolling_PT08.S3NOx_std_3,-0.006251531313234858
rolling_PT08.S3NOx_max_3,0.001596935154462955
rolling_PT08.S3NOx_min_3,0.009630838200585927
rolling_PT08.S3NOx_mean_6,-0.009945979231904715
rolling_PT08.S3NOx_std_6,0.007219387294641857
rolling_PT08.S3NOx_max_6,0.002028782175066373
rolling_PT08.S3NOx_min_6,0.0046909027337185
rolling_PT08.S3NOx_mean_12,-0.0054030494958617475
rolling_PT08.S3NOx_std_12,0.0
rolling_PT08.S3NOx_max_12,-0.00026104626826043293
rolling_PT08.S3NOx_min_12,-0.0008118702442067224
rolling_PT08.S3NOx_mean_24,0.01740563932358404
rolling_PT08.S3NOx_std_24,-0.008458834160179231
rolling_PT08.S3NOx_max_24,0.0013810312249979274
rolling_PT08.S3NOx_min_24,-0.004811444911155325
rolling_NO2GT_mean_3,0.06705484033251155
rolling_NO2GT_std_3,0.12214846717473157
rolling_NO2GT_max_3,0.04660825739594814
rolling_NO2GT_min_3,0.054396540791178644
rolling_NO2GT_mean_6,-0.04247288202250249
rolling_NO2GT_std_6,-0.02180528461162698
rolling_NO2GT_max_6,0.01397921521454474
rolling_NO2GT_min_6,0.03610220610748442
rolling_NO2GT_mean_12,0.015643167825522334
rolling_NO2GT_std_12,-0.0
rolling_NO2GT_max_12,-0.03630313642112382
rolling_NO2GT_min_12,-0.05423900911035414
rolling_NO2GT_mean_24,0.12959122291565536
rolling_NO2GT_std_24,0.0
rolling_NO2GT_max_24,-0.024777113634390436
rolling_NO2GT_min_24,0.004400122334300402
rolling_PT08.S4NO2_mean_3,-0.0005663709603440951
rolling_PT08.S4NO2_std_3,0.017854625582294368
rolling_PT08.S4NO2_max_3,-0.0
rolling_PT08.S4NO2_min_3,-0.0038843791214012557
rolling_PT08.S4NO2_mean_6,-0.0011836251633374855
rolling_PT08.S4NO2_std_6,-0.0
rolling_PT08.S4NO2_max_6,-0.002876409155241402
rolling_PT08.S4NO2_min_6,-0.0
rolling_PT08.S4NO2_mean_12,1.4549791466586503e-05
rolling_PT08.S4NO2_std_12,0.020591284462111194
rolling_PT08.S4NO2_max_12,0.002216481284042876
rolling_PT08.S4NO2_min_12,0.002127407451515607
rolling_PT08.S4NO2_mean_24,0.0
rolling_PT08.S4NO2_std_24,-0.00821015533955457
rolling_PT08.S4NO2_max_24,0.00028376666509730754
rolling_PT08.S4NO2_min_24,0.003222720932540377
rolling_PT08.S5O3_mean_3,-0.006333776850460726
rolling_PT08.S5O3_std_3,-0.0
rolling_PT08.S5O3_max_3,-0.006360964484548178
rolling_PT08.S5O3_min_3,-0.006155909208758049
rolling_PT08.S5O3_mean_6,-0.0
rolling_PT08.S5O3_std_6,-0.001008275503766231
rolling_PT08.S5O3_max_6,-0.0
rolling_PT08.S5O3_min_6,-0.00285120537426678
rolling_PT08.S5O3_mean_12,-0.002069716159514578
rolling_PT08.S5O3_std_12,-0.0012876703027090957
rolling_PT08.S5O3_max_12,0.0010681012954147915
rolling_PT08.S5O3_min_12,0.0049637406454879915
rolling_PT08.S5O3_mean_24,-0.0002412272891999778
rolling_PT08.S5O3_std_24,0.012483118837268917
rolling_PT08.S5O3_max_24,0.0005498505154390604
rolling_PT08.S5O3_min_24,-0.00444377547989145
rolling_T_mean_3,0.0
rolling_T_std_3,0.00032184075396416296
rolling_T_max_3,0.057163415201239194
rolling_T_min_3,0.057549716717936364
rolling_T_mean_6,0.0
rolling_T_std_6,-0.246036966799784
rolling_T_max_6,-0.0
rolling_T_min_6,0.1533364902050741
rolling_T_mean_12,-0.42426544741767275
rolling_T_std_12,-0.16699525700372833
rolling_T_max_12,-0.29987419507484864
rolling_T_min_12,-0.03926688343222504
rolling_T_mean_24,0.23288014322648196
rolling_T_std_24,0.2946455392546263
rolling_T_max_24,0.032269835347271895
rolling_T_min_24,0.13793217098493296
rolling_RH_mean_3,0.11573549699477242
rolling_RH_std_3,9.765749591858521e-05
rolling_RH_max_3,0.034924841006368314
rolling_RH_min_3,0.00883942142144277
rolling_RH_mean_6,-0.0
rolling_RH_std_6,0.06517879803876923
rolling_RH_max_6,-0.0002451704115777839
rolling_RH_min_6,-0.03955300516283825
rolling_RH_mean_12,-0.053175027503972586
rolling_RH_std_12,0.050769696700157615
rolling_RH_max_12,-0.003999780249112975
rolling_RH_min_12,-0.059857148776901264
rolling_RH_mean_24,0.0
rolling_RH_std_24,-0.0
rolling_RH_max_24,0.0013172003257247728
rolling_RH_min_24,0.023648920621777435
rolling_AH_mean_3,2.1317867605626204
rolling_AH_std_3,5.33397320979545
rolling_AH_max_3,0.0
rolling_AH_min_3,0.0
rolling_AH_mean_6,-0.6210871292024721
rolling_AH_std_6,-10.918271243003492
rolling_AH_max_6,-0.8026997930936044
rolling_AH_min_6,-1.6531484211407708
rolling_AH_mean_12,0.0
rolling_AH_std_12,-4.646615947383424
rolling_AH_max_12,1.1000745640774028
rolling_AH_min_12,0.0
rolling_AH_mean_24,0.0
rolling_AH_std_24,-2.505590094793812
rolling_AH_max_24,1.2151162074435362
rolling_AH_min_24,-0.03395073143645805
COGT_lag_1,-1.9168303120012933
COGT_lag_2,-0.0354682363985755
COGT_lag_3,0.3992981146249586
COGT_lag_6,-0.0
COGT_lag_9,-0.0
COGT_lag_12,-0.8977776171996849
COGT_lag_24,-0.6058920762432339
C6H6GT_lag_1,-0.023645277445942678
C6H6GT_lag_2,0.3755180682114729
C6H6GT_lag_3,0.15204288912305475
C6H6GT_lag_6,0.02283133895794617
C6H6GT_lag_9,0.05812227360401522
C6H6GT_lag_12,-0.00822937554943112
C6H6GT_lag_24,0.004996202188431601
NOxGT_lag_1,-0.07539266795235114
NOxGT_lag_2,0.009211149913111815
NOxGT_lag_3,0.033559365623825194
NOxGT_lag_6,0.0003674153641367498
NOxGT_lag_9,-0.0
