feature,coefficient
COGT,5.081006530605093
PT08.S1CO,0.004577787013025546
C6H6GT,-0.07089015472619623
NOxGT,0.07091211963711982
PT08.S3NOx,-0.01733913928075566
PT08.S4NO2,0.00039320357734905643
PT08.S5O3,0.012064791737890525
T,0.20754915120515316
RH,-0.06902791425812732
AH,-2.484625163339197
rolling_COGT_mean_3,-0.20825042932017906
rolling_COGT_std_3,-0.8848257058974851
rolling_COGT_max_3,-0.24632441901798913
rolling_COGT_min_3,-0.10663425080543402
rolling_COGT_mean_6,-0.33022620520492263
rolling_COGT_std_6,-1.6027566779300215
rolling_COGT_max_6,-0.2583681774867142
rolling_COGT_min_6,0.285365934479256
rolling_COGT_mean_12,-0.22103727675738746
rolling_COGT_std_12,-0.017864133411203638
rolling_COGT_max_12,-0.001369580884109513
rolling_COGT_min_12,-0.009766155028864843
rolling_COGT_mean_24,-0.15791914380798813
rolling_COGT_std_24,0.027525053641200017
rolling_COGT_max_24,0.0
rolling_COGT_min_24,-0.45328692584846186
rolling_PT08.S1CO_mean_3,-9.49073013256018e-05
rolling_PT08.S1CO_std_3,-0.009951248318912899
rolling_PT08.S1CO_max_3,-0.001958390941884313
rolling_PT08.S1CO_min_3,-0.0004058494463488484
rolling_PT08.S1CO_mean_6,0.0008942747589811036
rolling_PT08.S1CO_std_6,-0.0
rolling_PT08.S1CO_max_6,-0.0009134903316513985
rolling_PT08.S1CO_min_6,-0.0002011187395322165
rolling_PT08.S1CO_mean_12,0.0010303879921413049
rolling_PT08.S1CO_std_12,-0.0018547282463299512
rolling_PT08.S1CO_max_12,-0.0018210733956766016
rolling_PT08.S1CO_min_12,-0.0
rolling_PT08.S1CO_mean_24,0.0
rolling_PT08.S1CO_std_24,-0.009796096556861481
rolling_PT08.S1CO_max_24,-0.0
rolling_PT08.S1CO_min_24,0.005528603197905117
rolling_C6H6GT_mean_3,-0.010898963736200258
rolling_C6H6GT_std_3,0.0
rolling_C6H6GT_max_3,-0.019809364862717525
rolling_C6H6GT_min_3,-0.07578835042740148
rolling_C6H6GT_mean_6,0.04697849062683045
rolling_C6H6GT_std_6,0.0703080264977887
rolling_C6H6GT_max_6,0.0
rolling_C6H6GT_min_6,0.0040274667581734645
rolling_C6H6GT_mean_12,0.07405627611155499
rolling_C6H6GT_std_12,0.12553222910852715
rolling_C6H6GT_max_12,-0.0
rolling_C6H6GT_min_12,-0.23663057199101037
rolling_C6H6GT_mean_24,0.006892039947128063
rolling_C6H6GT_std_24,-0.0705371685528365
rolling_C6H6GT_max_24,0.001725910690965474
rolling_C6H6GT_min_24,-0.0
rolling_NOxGT_mean_3,-0.003551460270028384
rolling_NOxGT_std_3,-0.016245711169168838
rolling_NOxGT_max_3,-0.004260541640704693
rolling_NOxGT_min_3,-0.003210787390117642
rolling_NOxGT_mean_6,-0.003442468878782941
rolling_NOxGT_std_6,0.00845661118907015
rolling_NOxGT_max_6,-0.0018656174703441245
rolling_NOxGT_min_6,-0.00939088767734728
rolling_NOxGT_mean_12,-0.0022599819095386908
rolling_NOxGT_std_12,0.006829857208037007
rolling_NOxGT_max_12,0.0015482717097334646
rolling_NOxGT_min_12,-0.001131984804036207
rolling_NOxGT_mean_24,-0.007114101587018865
rolling_NOxGT_std_24,-0.010885646392166683
rolling_NOxGT_max_24,-0.0023408949462345
rolling_NOxGT_min_24,-0.007175944718527954
rolling_PT08.S3NOx_mean_3,0.0029927226282930102
rolling_PT08.S3NOx_std_3,-0.008314584511605966
rolling_PT08.S3NOx_max_3,0.0014734992082208007
rolling_PT08.S3NOx_min_3,0.004021255397589844
rolling_PT08.S3NOx_mean_6,0.0019383259152464896
rolling_PT08.S3NOx_std_6,0.0029709518270188452
rolling_PT08.S3NOx_max_6,0.0016827244566629286
rolling_PT08.S3NOx_min_6,0.003918555485685011
rolling_PT08.S3NOx_mean_12,-4.246191082567185e-05
rolling_PT08.S3NOx_std_12,-8.293884645979231e-05
rolling_PT08.S3NOx_max_12,-0.0004957465355863505
rolling_PT08.S3NOx_min_12,-0.0002290495471128634
rolling_PT08.S3NOx_mean_24,0.004618896692590071
rolling_PT08.S3NOx_std_24,-7.84415879658592e-05
rolling_PT08.S3NOx_max_24,0.0013722939646058983
rolling_PT08.S3NOx_min_24,-0.00043944342114468426
rolling_NO2GT_mean_3,0.10473611371094656
rolling_NO2GT_std_3,0.105606195419958
rolling_NO2GT_max_3,0.09891740299226712
rolling_NO2GT_min_3,0.10036326834014382
rolling_NO2GT_mean_6,0.02198933204562722
rolling_NO2GT_std_6,0.0
rolling_NO2GT_max_6,0.0334762111539737
rolling_NO2GT_min_6,0.04533246117019251
rolling_NO2GT_mean_12,0.01960944718726688
rolling_NO2GT_std_12,0.0
rolling_NO2GT_max_12,-0.0
rolling_NO2GT_min_12,-0.007465314020158436
rolling_NO2GT_mean_24,0.062474957138205035
rolling_NO2GT_std_24,-0.009451212075580544
rolling_NO2GT_max_24,0.0
rolling_NO2GT_min_24,0.005744197819413858
rolling_PT08.S4NO2_mean_3,-8.202087317255239e-05
rolling_PT08.S4NO2_std_3,0.010594662472040623
rolling_PT08.S4NO2_max_3,0.0
rolling_PT08.S4NO2_min_3,-0.003222047342010716
rolling_PT08.S4NO2_mean_6,-0.0
rolling_PT08.S4NO2_std_6,0.006075926559382501
rolling_PT08.S4NO2_max_6,-0.0
rolling_PT08.S4NO2_min_6,-0.0022557517070335444
rolling_PT08.S4NO2_mean_12,0.0026136691213380745
rolling_PT08.S4NO2_std_12,0.009822139275851613
rolling_PT08.S4NO2_max_12,0.0022420886948056763
rolling_PT08.S4NO2_min_12,0.0005631212856493396
rolling_PT08.S4NO2_mean_24,-0.0003360777733851885
rolling_PT08.S4NO2_std_24,-0.004308165565388477
rolling_PT08.S4NO2_max_24,0.00030126997643839174
rolling_PT08.S4NO2_min_24,0.0022873339720123915
rolling_PT08.S5O3_mean_3,-0.0020832845359754623
rolling_PT08.S5O3_std_3,-0.0034602032516378757
rolling_PT08.S5O3_max_3,-0.0023102943889041594
rolling_PT08.S5O3_min_3,-0.002491510290103238
rolling_PT08.S5O3_mean_6,-0.00168029547648072
rolling_PT08.S5O3_std_6,0.000732440807406031
rolling_PT08.S5O3_max_6,-0.0006056084783550144
rolling_PT08.S5O3_min_6,-0.001968054345632171
rolling_PT08.S5O3_mean_12,0.00016064055602074895
rolling_PT08.S5O3_std_12,0.0
rolling_PT08.S5O3_max_12,0.0006842327570292671
rolling_PT08.S5O3_min_12,0.0027819775658089927
rolling_PT08.S5O3_mean_24,-0.0007070972339223139
rolling_PT08.S5O3_std_24,0.00643713582593819
rolling_PT08.S5O3_max_24,0.0012964280679127848
rolling_PT08.S5O3_min_24,-0.0033211566200707578
rolling_T_mean_3,0.01622544834333594
rolling_T_std_3,0.23530519518299348
rolling_T_max_3,0.03565940028974885
rolling_T_min_3,0.030912184696556162
rolling_T_mean_6,0.020030999166473648
rolling_T_std_6,-0.4163816080000946
rolling_T_max_6,0.002279515241769143
rolling_T_min_6,0.07551904388854384
rolling_T_mean_12,-0.12039247090897266
rolling_T_std_12,-0.4042644592367451
rolling_T_max_12,-0.13881511433361365
rolling_T_min_12,-0.09737368052419204
rolling_T_mean_24,0.08298152696106358
rolling_T_std_24,0.0
rolling_T_max_24,0.042536273435791555
rolling_T_min_24,0.09396117807652117
rolling_RH_mean_3,0.018535970191650927
rolling_RH_std_3,0.043195009650319825
rolling_RH_max_3,0.011789104956133055
rolling_RH_min_3,0.0061206937779820355
rolling_RH_mean_6,-0.0
rolling_RH_std_6,0.0
rolling_RH_max_6,-0.013085300522790031
rolling_RH_min_6,-0.017554893653281847
rolling_RH_mean_12,0.0
rolling_RH_std_12,0.11998549757764966
rolling_RH_max_12,0.025349504732809242
rolling_RH_min_12,0.0
rolling_RH_mean_24,-0.0385404640880293
