feature,coefficient
COGT,5.454401809597895
PT08.S1CO,-0.011072689454146644
C6H6GT,-0.6532839164217351
NOxGT,0.1319074355176688
PT08.S3NOx,-0.02427149088218173
PT08.S4NO2,-0.0007907407091549918
PT08.S5O3,0.02273854177639747
T,0.3039374167909926
RH,-0.08901387948921102
AH,-3.837256864336301
rolling_COGT_mean_3,0.07232769513936933
rolling_COGT_std_3,-0.7284509987899829
rolling_COGT_max_3,-0.1320031394796511
rolling_COGT_min_3,0.06894017887982103
rolling_COGT_mean_6,-0.6286360636624047
rolling_COGT_std_6,-1.7735881503056967
rolling_COGT_max_6,0.5741276560390338
rolling_COGT_min_6,1.370040522964591
rolling_COGT_mean_12,-0.5085990040730485
rolling_COGT_std_12,-0.3702046094454459
rolling_COGT_max_12,-0.017173451846708848
rolling_COGT_min_12,0.6094700171505123
rolling_COGT_mean_24,0.10455713696575143
rolling_COGT_std_24,1.2844675731443436
rolling_COGT_max_24,0.19413157840522977
rolling_COGT_min_24,-0.36552533742454907
rolling_PT08.S1CO_mean_3,0.005014939184693362
rolling_PT08.S1CO_std_3,-0.00971834680519804
rolling_PT08.S1CO_max_3,-0.0004337564325951437
rolling_PT08.S1CO_min_3,0.0033204269505823477
rolling_PT08.S1CO_mean_6,0.010516965817184854
rolling_PT08.S1CO_std_6,0.0031927260418426378
rolling_PT08.S1CO_max_6,0.0011314611492305657
rolling_PT08.S1CO_min_6,-0.002627278651301484
rolling_PT08.S1CO_mean_12,0.0026804086654495744
rolling_PT08.S1CO_std_12,0.00035674653201127034
rolling_PT08.S1CO_max_12,-0.006826631597343167
rolling_PT08.S1CO_min_12,-0.0
rolling_PT08.S1CO_mean_24,0.0021133901572218702
rolling_PT08.S1CO_std_24,-0.011613196036627615
rolling_PT08.S1CO_max_24,-0.00021742845356345503
rolling_PT08.S1CO_min_24,0.0022255278958096163
rolling_C6H6GT_mean_3,0.05965000077935014
rolling_C6H6GT_std_3,0.07574879115982998
rolling_C6H6GT_max_3,0.001216545795615533
rolling_C6H6GT_min_3,-0.08108759603081397
rolling_C6H6GT_mean_6,0.0898614005909512
rolling_C6H6GT_std_6,0.11836992715241967
rolling_C6H6GT_max_6,0.0433192891189128
rolling_C6H6GT_min_6,0.26295221544201636
rolling_C6H6GT_mean_12,0.11557555069996765
rolling_C6H6GT_std_12,0.16912854171449568
rolling_C6H6GT_max_12,-0.16826573207482548
rolling_C6H6GT_min_12,-0.3336966721623279
rolling_C6H6GT_mean_24,0.27601844308042844
rolling_C6H6GT_std_24,-0.28432826743149386
rolling_C6H6GT_max_24,0.005631417140317677
rolling_C6H6GT_min_24,0.0015609980565979393
rolling_NOxGT_mean_3,-0.017752899116475918
rolling_NOxGT_std_3,-0.03762903165068702
rolling_NOxGT_max_3,-0.01753470789331711
rolling_NOxGT_min_3,-0.017672519658915187
rolling_NOxGT_mean_6,-0.003413080601330371
rolling_NOxGT_std_6,0.01919132998780707
rolling_NOxGT_max_6,-0.002313575042156508
rolling_NOxGT_min_6,-0.030872042577644157
rolling_NOxGT_mean_12,-0.0026467075303373447
rolling_NOxGT_std_12,0.007845547040015801
rolling_NOxGT_max_12,0.007842416260442065
rolling_NOxGT_min_12,0.015251917190202744
rolling_NOxGT_mean_24,-0.01795307652427157
rolling_NOxGT_std_24,-0.028524469873647672
rolling_NOxGT_max_24,0.0021322699972917305
rolling_NOxGT_min_24,-0.012217386104683077
rolling_PT08.S3NOx_mean_3,0.01035050793025766
rolling_PT08.S3NOx_std_3,-0.00976673518656245
rolling_PT08.S3NOx_max_3,0.0037826998829870915
rolling_PT08.S3NOx_min_3,0.009099258732385882
rolling_PT08.S3NOx_mean_6,-0.008490218401106456
rolling_PT08.S3NOx_std_6,0.007231549356568491
rolling_PT08.S3NOx_max_6,0.00170120865192553
rolling_PT08.S3NOx_min_6,0.005029130461356273
rolling_PT08.S3NOx_mean_12,-0.004248492161648838
rolling_PT08.S3NOx_std_12,0.0013600852856993546
rolling_PT08.S3NOx_max_12,-0.0012453266420424907
rolling_PT08.S3NOx_min_12,-0.0011428735201408947
rolling_PT08.S3NOx_mean_24,0.016217977392104118
rolling_PT08.S3NOx_std_24,-0.009762353824373357
rolling_PT08.S3NOx_max_24,0.0023109593678145557
rolling_PT08.S3NOx_min_24,-0.004697358894208179
rolling_NO2GT_mean_3,0.12238169879511489
rolling_NO2GT_std_3,0.12012846749563137
rolling_NO2GT_max_3,0.08487934026595509
rolling_NO2GT_min_3,0.08771987154492225
rolling_NO2GT_mean_6,-0.03826588458616572
rolling_NO2GT_std_6,-0.029268990048160144
rolling_NO2GT_max_6,0.02033511645712216
rolling_NO2GT_min_6,0.03378184238249
rolling_NO2GT_mean_12,0.011793473295382677
rolling_NO2GT_std_12,0.0
rolling_NO2GT_max_12,-0.03791643290275792
rolling_NO2GT_min_12,-0.05786676815141618
rolling_NO2GT_mean_24,0.11063092870716836
rolling_NO2GT_std_24,0.0073333469716060804
rolling_NO2GT_max_24,-0.024757167869482104
rolling_NO2GT_min_24,0.011469615628077747
rolling_PT08.S4NO2_mean_3,-0.0003283953424527712
rolling_PT08.S4NO2_std_3,0.017937997089708824
rolling_PT08.S4NO2_max_3,0.0
rolling_PT08.S4NO2_min_3,-0.004607825935267714
rolling_PT08.S4NO2_mean_6,-0.002137522076873953
rolling_PT08.S4NO2_std_6,-0.0
rolling_PT08.S4NO2_max_6,-0.003050338553777207
rolling_PT08.S4NO2_min_6,-0.0
rolling_PT08.S4NO2_mean_12,0.0015715990688911542
rolling_PT08.S4NO2_std_12,0.020427383108171254
rolling_PT08.S4NO2_max_12,0.0022964640170771867
rolling_PT08.S4NO2_min_12,0.0015290303180628187
rolling_PT08.S4NO2_mean_24,-0.0
rolling_PT08.S4NO2_std_24,-0.009401063547524463
rolling_PT08.S4NO2_max_24,0.0004737783953657277
rolling_PT08.S4NO2_min_24,0.004062432559031944
rolling_PT08.S5O3_mean_3,-0.0055082956359075175
rolling_PT08.S5O3_std_3,-0.001299390641168204
rolling_PT08.S5O3_max_3,-0.0057307540688180374
rolling_PT08.S5O3_min_3,-0.0064636268909951155
rolling_PT08.S5O3_mean_6,-0.0008442942232385138
rolling_PT08.S5O3_std_6,-0.0014522203843491078
rolling_PT08.S5O3_max_6,3.315203192887749e-05
rolling_PT08.S5O3_min_6,-0.0029079600305851505
rolling_PT08.S5O3_mean_12,-0.002268448091683803
rolling_PT08.S5O3_std_12,-0.002996030910243088
rolling_PT08.S5O3_max_12,0.0015412631968499619
rolling_PT08.S5O3_min_12,0.004897939676707568
rolling_PT08.S5O3_mean_24,-0.0011858858295552212
rolling_PT08.S5O3_std_24,0.013382882359084934
rolling_PT08.S5O3_max_24,0.0007570969094199485
rolling_PT08.S5O3_min_24,-0.004387128552852669
rolling_T_mean_3,-0.0
rolling_T_std_3,0.026363055017010355
rolling_T_max_3,0.07707671305369147
rolling_T_min_3,0.08830104777634146
rolling_T_mean_6,0.003906585186540003
rolling_T_std_6,-0.3386640634828008
rolling_T_max_6,-0.009588748551071256
rolling_T_min_6,0.11456008267815646
rolling_T_mean_12,-0.3735962166094139
rolling_T_std_12,-0.3640624450419312
rolling_T_max_12,-0.2675256932417745
rolling_T_min_12,-0.13198029974170203
rolling_T_mean_24,0.2117609224577168
rolling_T_std_24,0.3167905080434491
rolling_T_max_24,0.06635721506788989
rolling_T_min_24,0.17270098961656594
rolling_RH_mean_3,0.09170102816529996
rolling_RH_std_3,0.020146601935473612
rolling_RH_max_3,0.04325478638764908
rolling_RH_min_3,0.03451452465488203
rolling_RH_mean_6,0.009040314802048905
rolling_RH_std_6,0.09859623230264308
rolling_RH_max_6,-0.01423472634982866
rolling_RH_min_6,-0.03423542271225623
rolling_RH_mean_12,-0.04888286363307441
rolling_RH_std_12,0.11444054184414879
rolling_RH_max_12,-0.026847056000514367
rolling_RH_min_12,-0.05442100340256408
rolling_RH_mean_24,-0.0
rolling_RH_std_24,-0.020148248224646906
rolling_RH_max_24,0.012403840071248066
rolling_RH_min_24,0.03335320620189952
rolling_AH_mean_3,1.861128342673294
rolling_AH_std_3,5.603287243150319
rolling_AH_max_3,0.47282281932178133
rolling_AH_min_3,0.3912019587856062
rolling_AH_mean_6,-1.1191201764715664
rolling_AH_std_6,-11.411806811474031
rolling_AH_max_6,-1.143753016804426
rolling_AH_min_6,-1.759450180021558
rolling_AH_mean_12,0.1454597926702129
rolling_AH_std_12,-6.714352635688963
rolling_AH_max_12,1.6860734343078836
rolling_AH_min_12,-0.0
rolling_AH_mean_24,0.04937407231684422
rolling_AH_std_24,-4.061274497556373
rolling_AH_max_24,1.578225066673817
rolling_AH_min_24,-1.2565788245275737
COGT_lag_1,-2.3660831188877567
COGT_lag_2,-0.5027313595264423
COGT_lag_3,-0.06417874314562284
COGT_lag_6,-0.3876605920561792
COGT_lag_9,-0.09524838742209232
COGT_lag_12,-0.910037056314006
COGT_lag_24,-0.6531997453651025
C6H6GT_lag_1,-0.15198980772947215
C6H6GT_lag_2,0.287097294776958
C6H6GT_lag_3,0.08196364857175774
C6H6GT_lag_6,0.056775143226709394
C6H6GT_lag_9,0.055960671681559375
C6H6GT_lag_12,-0.00800677023037555
C6H6GT_lag_24,0.00331360229548183
NOxGT_lag_1,-0.05894036014131986
NOxGT_lag_2,0.006408363949887507
NOxGT_lag_3,0.03039540776640163
NOxGT_lag_6,0.0015059710397536928
NOxGT_lag_9,-0.0006306754240560306
NOxGT_lag_12,-0.0030612110264079478
NOxGT_lag_24,-0.005360396054619391
NO2GT_lag_1,0.5625443905050933
NO2GT_lag_2,-0.02536398673964419
NO2GT_lag_3,-0.0840822373852918
NO2GT_lag_6,0.011471908454287801
NO2GT_lag_9,0.012315519273144376
NO2GT_lag_12,0.02295536629550784
NO2GT_lag_24,0.06330802283458324
hour_1,-2.090810475891053
hour_2,-1.6516189701869421
hour_3,3.2732735228811762
hour_4,-2.7866027935732864
hour_5,0.22840614395740477
hour_6,-0.01679408817834211
hour_7,-2.6640339924898333
hour_8,-0.1833857359069464
hour_9,1.644292089601477
hour_10,1.3223691529111066
hour_11,0.722166133173769
hour_12,-0.5823937081264332
hour_13,-1.0001570588903903
hour_14,-0.805403565499092
hour_15,0.23233507991419783
hour_16,0.07645530324769517
hour_17,0.9056105837317584
hour_18,0.12667590333836426
hour_19,-0.10132452376998088
hour_20,0.9754922070436397
hour_21,0.6608963588853236
hour_22,1.130944179850591
hour_23,1.2705399165598483
day_of_week_Monday,-0.12594436053205577
day_of_week_Tuesday,0.012345843137225164
day_of_week_Wednesday,0.4650879866186271
day_of_week_Thursday,0.04522668940426767
day_of_week_Friday,0.6371039949134416
day_of_week_Saturday,-0.7407892466600836
INTERCEPT,-4.370256675351428
